RBT-80 per-season series, conventional population, all nine arms.
Committed so sections 1, 3 and 5 of the report are re-derivable by
someone other than the author (adversary finding 7; RBT-86).
No genomes are shipped: these are aggregate per-season numbers only.

## mean_lifetime_score by season  (section 3: yield = seeded - control)

season A:seeded   A:control  A:drift    B:seeded   B:control  B:drift    C:seeded   C:control  C:drift   
    80     1.1085     0.6280    -0.0554     1.1365     0.6522     0.1471     1.0721     0.6899     0.3944
    81     1.1027     0.6640    -0.0747     1.1295     0.6741     0.2008     1.0511     0.7612     0.3906
    82     1.1032     0.6297    -0.0706     1.0992     0.6924     0.1930     1.0520     0.6658     0.4027
    83     1.0810     0.6426    -0.0840     1.1220     0.7080     0.1606     1.0426     0.6465     0.4089
    84     1.0454     0.7019    -0.1054     1.1448     0.7299     0.1510     1.0530     0.6538     0.4691
    85     1.0769     0.7065    -0.1281     1.1505     0.7083     0.1539     0.9961     0.7094     0.4368
    86     1.0410     0.7825    -0.1174     1.1867     0.7192     0.1600     1.0446     0.6632     0.4497
    87     1.0379     0.8015    -0.1247     1.1819     0.8018     0.1706     1.0266     0.6915     0.4619
    88     1.0465     0.7483    -0.1326     1.1546     0.7811     0.1583     1.0593     0.6411     0.4688
    89     1.0398     0.7466    -0.1336     1.1425     0.7452     0.1544     1.0406     0.6153     0.4525
    90     1.1223     0.7365    -0.1350     1.1380     0.8122     0.1667     1.0644     0.6358     0.4391
    91     1.1340     0.7381    -0.1375     1.1235     0.7288     0.1750     1.0340     0.6202     0.4558
    92     1.0941     0.7267    -0.1321     1.1344     0.7069     0.1785     1.0812     0.6629     0.4397
    93     1.0700     0.7615    -0.1104     1.0883     0.6627     0.1714     1.0615     0.6353     0.4544
    94     1.0624     0.8411    -0.1280     1.0916     0.7198     0.1910     1.0919     0.6475     0.5377
    95     1.0260     0.7603    -0.1339     1.0841     0.6786     0.2210     1.0952     0.6410     0.4940
    96     1.0877     0.7916    -0.1300     1.1089     0.6613     0.2302     1.0843     0.6402     0.4925
    97     1.1899     0.7354    -0.1316     1.0899     0.6476     0.2149     1.0536     0.6911     0.4750
    98     1.1527     0.7059    -0.1381     1.0942     0.6649     0.2081     1.0586     0.6707     0.4693
    99     1.1207     0.6780    -0.1512     1.0661     0.6449     0.2339     1.0499     0.7023     0.4425
   100     1.2395     0.6935    -0.1634     1.0795     0.6493     0.2140     1.0691     0.7312     0.4603
   101     1.2012     0.7128    -0.1457     1.0492     0.6573     0.2105     1.0442     0.6687     0.4605
   102     1.1659     0.7041    -0.1509     1.0417     0.6465     0.2065     1.0285     0.6350     0.4362
   103     1.1767     0.7180    -0.1535     1.0504     0.6522     0.2094     1.0335     0.5895     0.4283
   104     1.1679     0.7198    -0.1490     1.0493     0.6457     0.1934     1.0194     0.6238     0.3821
   105     1.1126     0.7475    -0.1778     1.0580     0.5982     0.1623     0.9675     0.5826     0.3406
   106     1.1410     0.7649    -0.1583     1.0210     0.6443     0.1834     0.9522     0.5829     0.3403
   107     1.1324     0.6940    -0.1844     1.0465     0.6829     0.1867     0.9532     0.6302     0.3280
   108     1.1495     0.6732    -0.1779     1.0722     0.6613     0.2374     0.9542     0.6164     0.3369
   109     1.1540     0.7332    -0.1993     0.9949     0.6477     0.2241     1.0143     0.6389     0.3254
   110     1.1188     0.6919    -0.1439     0.9733     0.6375     0.2295     0.9835     0.6776     0.3118
   111     1.1036     0.7300    -0.1552     0.9345     0.6356     0.2180     1.0451     0.7756     0.3339
   112     1.0889     0.6768    -0.1506     1.0302     0.6953     0.2483     1.0526     0.7141     0.2879
   113     1.0462     0.6707    -0.1495     0.9361     0.6488     0.2524     0.9977     0.6704     0.2608
   114     1.0345     0.6807    -0.0524     0.9545     0.5874     0.2805     1.0174     0.6294     0.3286
   115     0.9594     0.6575    -0.0212     1.0140     0.5760     0.2701     0.9481     0.6392     0.3050
   116     1.1574     0.6033     0.0412     0.9158     0.5529     0.2170     0.9262     0.6584     0.3096
   117     1.0955     0.6644     0.1130     0.8845     0.6270     0.2425     0.8588     0.6757     0.1877
   118     1.0075     0.6722     0.0425     0.8125     0.5904     0.2390     0.7216     0.6852     0.1031
   119     1.1661     0.6329     0.1387     0.8913     0.6480     0.2768     0.7795     0.6032     0.1182
   120     1.0454     0.7435     0.1224     0.8327     0.6936     0.2465     0.8711     0.6635     0.1065
   121     1.0271     0.7156     0.0897     0.8130     0.6564     0.2113     0.9667     0.6862     0.0897
   122     1.1214     0.7010     0.0466     0.8553     0.5888     0.2135     0.9879     0.6208     0.0682
   123     1.1085     0.6277     0.0229     0.8985     0.6436     0.1882     0.9513     0.6155     0.0705
   124     1.2172     0.5851     0.0125     0.8527     0.6952     0.2170     0.9713     0.6706     0.0842
   125     1.2254     0.5752     0.0091     0.8570     0.6536     0.1970     0.9119     0.6872     0.1123
   126     1.1709     0.6339     0.0065     0.8036     0.7012     0.1898     0.9470     0.6800     0.1420
   127     1.1191     0.6431    -0.0020     0.8666     0.6585     0.1270     0.9610     0.6447     0.1161
   128     1.0883     0.6601    -0.0216     0.8938     0.6713     0.0956     0.9070     0.6310     0.1303
   129     1.1073     0.6669     0.0063     0.9105     0.6541     0.0854     0.9879     0.7573     0.1237
   130     1.0857     0.5913    -0.0005     0.8988     0.6723     0.0659     0.9269     0.6477     0.1247
   131     1.0746     0.6812    -0.0017     0.9415     0.6478     0.0715     0.9283     0.6555     0.1396
   132     1.1005     0.7186    -0.0086     0.9228     0.6404     0.0804     0.9562     0.6046     0.1382
   133     1.0791     0.6895    -0.0061     0.9643     0.6469     0.0902     0.9736     0.6634     0.1345
   134     1.0660     0.6869    -0.0015     0.9518     0.6318     0.0968     0.9225     0.6837     0.1315
