RBT-80 carrier predicate under depths (1, 2, 4) — runs/RBT-80/seedA
arms: seeded, control, drift; seasons sampled every 10; direction probe 2 seeds x 3s, cached per genotype
carrier iff re-signed a >= +16; founder direction BACKWARD

### seeded: 429/429 genotypes measured over 31 seasons
| season | alive | carr d1 | frac d1 | med a d1 | carr d2 | frac d2 | med a d2 | carr d4 | frac d4 | med a d4 | inverted d2 | balance>0 | opposed<0 | median rho |
| 210 | 60 | 0 | 0.000 | +0.0 | 39 | 0.650 | +61.2 | 39 | 0.650 | +65.9 | 21 | 2 | 0 | 2.79 |
| 220 | 60 | 0 | 0.000 | +0.0 | 39 | 0.650 | +61.2 | 39 | 0.650 | +65.9 | 21 | 2 | 0 | 2.79 |
| 230 | 60 | 0 | 0.000 | +0.0 | 41 | 0.683 | +65.5 | 41 | 0.683 | +66.4 | 19 | 3 | 0 | 2.78 |
| 240 | 60 | 0 | 0.000 | +0.0 | 40 | 0.667 | +58.9 | 39 | 0.650 | +58.9 | 20 | 2 | 0 | 2.79 |
| 250 | 60 | 0 | 0.000 | +0.0 | 39 | 0.650 | +58.3 | 38 | 0.633 | +58.3 | 21 | 2 | 0 | 2.78 |
| 260 | 60 | 0 | 0.000 | +0.0 | 40 | 0.667 | +58.9 | 39 | 0.650 | +58.9 | 20 | 2 | 0 | 2.77 |
| 270 | 60 | 0 | 0.000 | +0.0 | 41 | 0.683 | +60.3 | 40 | 0.667 | +60.9 | 19 | 1 | 0 | 2.76 |
| 280 | 60 | 0 | 0.000 | +0.0 | 42 | 0.700 | +61.4 | 41 | 0.683 | +62.5 | 18 | 1 | 0 | 2.77 |
| 290 | 60 | 0 | 0.000 | +0.0 | 42 | 0.700 | +60.3 | 41 | 0.683 | +60.6 | 18 | 0 | 0 | 2.79 |
| 299 | 60 | 0 | 0.000 | +0.0 | 51 | 0.850 | +67.3 | 50 | 0.833 | +71.6 | 8 | 2 | 0 | 2.71 |

### Verdict quantity  seeded - drift,  under each predicate
| readout | d1 seeded | d1 drift | d1 diff | d2 seeded | d2 drift | d2 diff | d4 seeded | d4 drift | d4 diff |
|---|---|---|---|---|---|---|---|---|---|
| plateau 250-299 | 0.000 | 0.000 | +0.000 | 0.961 | 0.708 | +0.253 | 0.961 | 0.692 | +0.269 |
| season 299 | 0.000 | 0.000 | +0.000 | 0.933 | 0.850 | +0.083 | 0.933 | 0.833 | +0.100 |
