RBT-80 carrier predicate under depths (1, 2, 4) — runs/RBT-80/seedC
arms: seeded, control, drift; seasons sampled every 10; direction probe 2 seeds x 3s, cached per genotype
carrier iff re-signed a >= +16; founder direction BACKWARD

### seeded: 418/418 genotypes measured over 31 seasons
| season | alive | carr d1 | frac d1 | med a d1 | carr d2 | frac d2 | med a d2 | carr d4 | frac d4 | med a d4 | inverted d2 | balance>0 | opposed<0 | median rho |
| 120 | 60 | 0 | 0.000 | +0.0 | 45 | 0.750 | +53.7 | 45 | 0.750 | +57.5 | 15 | 0 | 0 | 2.87 |
| 130 | 60 | 0 | 0.000 | +0.0 | 45 | 0.750 | +53.7 | 45 | 0.750 | +57.5 | 15 | 0 | 0 | 2.87 |
| 140 | 60 | 0 | 0.000 | +0.0 | 46 | 0.767 | +58.0 | 46 | 0.767 | +57.7 | 14 | 0 | 0 | 2.87 |
| 150 | 60 | 0 | 0.000 | +0.0 | 47 | 0.783 | +53.6 | 47 | 0.783 | +55.7 | 13 | 0 | 0 | 2.87 |
| 160 | 60 | 0 | 0.000 | +0.0 | 45 | 0.750 | +52.6 | 45 | 0.750 | +53.7 | 15 | 0 | 0 | 2.86 |
| 170 | 60 | 0 | 0.000 | +0.0 | 45 | 0.750 | +49.2 | 45 | 0.750 | +50.6 | 14 | 0 | 0 | 2.80 |
| 180 | 60 | 0 | 0.000 | +0.0 | 48 | 0.800 | +49.2 | 48 | 0.800 | +49.2 | 13 | 0 | 0 | 2.83 |
| 190 | 60 | 0 | 0.000 | +0.0 | 48 | 0.800 | +49.2 | 48 | 0.800 | +49.2 | 13 | 0 | 0 | 2.86 |
| 200 | 60 | 0 | 0.000 | +0.0 | 47 | 0.783 | +47.5 | 47 | 0.783 | +47.5 | 14 | 0 | 0 | 2.88 |
| 210 | 60 | 0 | 0.000 | +0.0 | 46 | 0.767 | +37.7 | 46 | 0.767 | +37.9 | 15 | 0 | 0 | 2.89 |
| 220 | 60 | 0 | 0.000 | +0.0 | 48 | 0.800 | +49.2 | 48 | 0.800 | +49.2 | 13 | 0 | 0 | 2.93 |
| 230 | 60 | 0 | 0.000 | +0.0 | 44 | 0.733 | +29.2 | 44 | 0.733 | +29.0 | 17 | 1 | 1 | 2.88 |
| 240 | 60 | 0 | 0.000 | +0.0 | 41 | 0.683 | +30.5 | 41 | 0.683 | +26.1 | 18 | 1 | 1 | 2.94 |
| 250 | 60 | 0 | 0.000 | +0.0 | 40 | 0.667 | +29.4 | 40 | 0.667 | +25.0 | 18 | 1 | 1 | 2.93 |
| 260 | 60 | 0 | 0.000 | +0.0 | 40 | 0.667 | +29.4 | 40 | 0.667 | +25.0 | 18 | 1 | 1 | 2.93 |
| 270 | 60 | 0 | 0.000 | +0.0 | 40 | 0.667 | +29.4 | 40 | 0.667 | +25.0 | 18 | 1 | 1 | 2.92 |
| 280 | 60 | 0 | 0.000 | +0.0 | 40 | 0.667 | +29.3 | 40 | 0.667 | +24.5 | 18 | 1 | 1 | 2.92 |
| 290 | 60 | 0 | 0.000 | +0.0 | 40 | 0.667 | +29.4 | 39 | 0.650 | +24.7 | 17 | 0 | 0 | 2.96 |
| 299 | 60 | 0 | 0.000 | +0.0 | 29 | 0.483 | +0.0 | 28 | 0.467 | +1.2 | 19 | 0 | 0 | 3.07 |

### Verdict quantity  seeded - drift,  under each predicate
| readout | d1 seeded | d1 drift | d1 diff | d2 seeded | d2 drift | d2 diff | d4 seeded | d4 drift | d4 diff |
|---|---|---|---|---|---|---|---|---|---|
| plateau 250-299 | 0.000 | 0.000 | +0.000 | 0.922 | 0.636 | +0.286 | 0.922 | 0.631 | +0.292 |
| season 299 | 0.000 | 0.000 | +0.000 | 0.900 | 0.483 | +0.417 | 0.900 | 0.467 | +0.433 |
