# RBT-101 adversary probe A: `new` against reproduction depth and against a non-posture placebo, baseline arms only (no terrain change), pseudo-onsets T every 20 seasons, P at T + 160
seed	fauna	T	|P|	new	new_other	depth	births
forage-807	holistic	220	60	0.000	0.067	4.20	209
forage-807	conventional	220	60	0.017	0.133	4.48	265
forage-807	holistic	240	60	0.000	0.033	4.85	236
forage-807	conventional	240	60	0.017	0.117	4.52	265
forage-807	holistic	260	60	0.000	0.017	4.68	245
forage-807	conventional	260	60	0.050	0.117	4.73	289
forage-807	holistic	280	60	0.033	0.033	4.17	210
forage-807	conventional	280	60	0.067	0.150	4.63	292
forage-807	holistic	300	60	0.067	0.067	4.73	232
forage-807	conventional	300	60	0.067	0.167	4.42	280
forage-807	holistic	320	60	0.083	0.000	4.78	241
forage-807	conventional	320	60	0.083	0.217	4.70	289
forage-807	holistic	340	60	0.033	0.017	4.10	227
forage-807	conventional	340	60	0.083	0.200	4.28	271
forage-807	holistic	360	60	0.033	0.050	4.45	237
forage-807	conventional	360	60	0.067	0.250	4.37	271
forage-807	holistic	380	60	0.033	0.033	4.72	242
forage-807	conventional	380	60	0.117	0.200	4.17	275
forage-807	holistic	400	60	0.050	0.017	4.32	224
forage-807	conventional	400	60	0.167	0.217	4.33	276
forage-807	holistic	420	60	0.017	0.000	4.73	229
forage-807	conventional	420	60	0.067	0.167	4.13	252
forage-1	holistic	100	60	0.167	0.250	4.42	263
forage-1	conventional	100	60	0.217	0.133	4.10	294
forage-1	holistic	120	60	0.150	0.283	4.73	285
forage-1	conventional	120	60	0.150	0.233	4.70	332
forage-1	holistic	140	60	0.100	0.217	4.62	301
forage-1	conventional	140	60	0.133	0.183	4.65	329
forage-1	holistic	160	60	0.267	0.183	4.28	266
forage-1	conventional	160	60	0.050	0.183	4.43	308
forage-1	holistic	180	60	0.200	0.133	4.35	281
forage-1	conventional	180	60	0.050	0.133	4.57	329
forage-1	holistic	200	60	0.183	0.150	4.70	285
forage-1	conventional	200	60	0.017	0.167	4.42	327
forage-1	holistic	220	60	0.150	0.117	4.25	258
forage-1	conventional	220	60	0.017	0.183	4.23	299
forage-1	holistic	240	60	0.150	0.083	4.12	254
forage-1	conventional	240	60	0.017	0.383	3.98	316
forage-1	holistic	260	60	0.117	0.133	4.22	273
forage-1	conventional	260	60	0.000	0.433	4.32	331
forage-1	holistic	280	60	0.083	0.133	3.92	239
forage-1	conventional	280	60	0.017	0.117	4.13	300
forage-1	holistic	300	60	0.067	0.117	3.97	229
forage-1	conventional	300	60	0.017	0.167	4.18	300
forage-1	holistic	320	60	0.017	0.117	3.85	240
forage-1	conventional	320	60	0.033	0.183	4.43	325
forage-1	holistic	340	60	0.050	0.100	3.88	230
forage-1	conventional	340	60	0.000	0.133	4.70	337
forage-1	holistic	360	60	0.033	0.067	3.95	226
forage-1	conventional	360	60	0.000	0.100	4.30	337
forage-1	holistic	380	60	0.033	0.067	4.17	235
forage-1	conventional	380	60	0.017	0.067	4.60	367
forage-1	holistic	400	60	0.117	0.200	4.17	232
forage-1	conventional	400	60	0.067	0.050	4.45	345
forage-1	holistic	420	60	0.133	0.233	3.88	229
forage-1	conventional	420	60	0.083	0.017	4.35	336
forage-2	holistic	100	60	0.100	0.317	3.67	222
forage-2	conventional	100	60	0.083	0.167	4.20	251
forage-2	holistic	120	60	0.083	0.300	4.57	256
forage-2	conventional	120	60	0.050	0.150	4.55	276
forage-2	holistic	140	60	0.167	0.283	4.92	281
forage-2	conventional	140	60	0.100	0.167	4.47	292
forage-2	holistic	160	60	0.167	0.200	4.07	229
forage-2	conventional	160	60	0.117	0.183	4.32	274
forage-2	holistic	180	60	0.233	0.183	4.47	246
forage-2	conventional	180	60	0.100	0.000	4.28	272
forage-2	holistic	200	60	0.183	0.183	4.72	265
forage-2	conventional	200	60	0.100	0.000	4.48	296
forage-2	holistic	220	60	0.133	0.033	4.15	233
forage-2	conventional	220	60	0.100	0.000	4.17	271
forage-2	holistic	240	60	0.150	0.017	4.28	232
forage-2	conventional	240	60	0.217	0.000	4.18	262
forage-2	holistic	260	60	0.167	0.017	4.50	255
forage-2	conventional	260	60	0.183	0.017	4.95	276
forage-3	holistic	100	60	0.150	0.300	4.07	249
forage-3	conventional	100	60	0.000	0.067	4.68	323
forage-3	holistic	120	60	0.133	0.300	4.33	273
forage-3	conventional	120	60	0.017	0.050	4.22	316
forage-3	holistic	140	60	0.200	0.267	4.28	277
forage-3	conventional	140	60	0.017	0.183	4.03	305
forage-3	holistic	160	60	0.217	0.217	4.30	235
forage-3	conventional	160	60	0.017	0.267	4.48	311
forage-3	holistic	180	60	0.450	0.217	4.33	246
forage-3	conventional	180	60	0.000	0.200	4.27	315
forage-3	holistic	200	60	0.383	0.200	5.00	276
forage-3	conventional	200	60	0.017	0.217	4.37	307
forage-3	holistic	220	60	0.267	0.150	4.37	253
forage-3	conventional	220	60	0.017	0.300	4.70	320
forage-3	holistic	240	60	0.183	0.150	4.72	252
forage-3	conventional	240	60	0.017	0.300	4.67	327
forage-3	holistic	260	60	0.233	0.100	4.75	264
forage-3	conventional	260	60	0.067	0.317	4.32	298
forage-3	holistic	280	60	0.083	0.033	4.55	250
forage-3	conventional	280	60	0.083	0.383	4.62	295
forage-3	holistic	300	60	0.067	0.100	4.55	248
forage-3	conventional	300	60	0.150	0.383	4.47	304
forage-3	holistic	320	60	0.183	0.083	4.38	266
forage-3	conventional	320	60	0.150	0.333	4.57	297
forage-3	holistic	340	60	0.167	0.150	4.20	251
forage-3	conventional	340	60	0.117	0.100	4.52	284
forage-3	holistic	360	60	0.100	0.067	4.07	238
forage-3	conventional	360	60	0.100	0.067	4.42	300
forage-3	holistic	380	60	0.183	0.200	4.28	257
forage-3	conventional	380	60	0.033	0.033	4.25	302
