population	name	born	body
holistic	he964	507	66404fc07b47
conventional	ce1157	507	064cde1b95c2
holistic	he965	508	1d4f8621ab22
conventional	ce1158	508	064cde1b95c2
holistic	he966	509	b3762687c5ef
holistic	he967	509	a4bcd5ffa9c0
conventional	ce1159	509	064cde1b95c2
conventional	ce1160	509	064cde1b95c2
conventional	ce1161	509	064cde1b95c2
holistic	he968	510	3e863ca6f0e9
holistic	he969	511	fad6c7e876ee
conventional	ce1162	511	064cde1b95c2
holistic	he970	512	6476cb865950
holistic	he971	512	986828326b49
holistic	he972	512	60a483206618
conventional	ce1163	512	064cde1b95c2
conventional	ce1164	512	064cde1b95c2
holistic	he973	513	80ee29fac930
holistic	he974	513	9df40cd3d4b8
conventional	ce1165	513	064cde1b95c2
conventional	ce1166	513	064cde1b95c2
conventional	ce1167	513	064cde1b95c2
holistic	he975	514	e7527564b6b3
holistic	he976	514	a111261dc1ab
holistic	he977	514	ebe2623ed2c3
holistic	he978	515	201b91ea311f
conventional	ce1168	515	064cde1b95c2
conventional	ce1169	515	064cde1b95c2
conventional	ce1170	515	064cde1b95c2
conventional	ce1171	515	064cde1b95c2
conventional	ce1172	515	064cde1b95c2
holistic	he979	516	9b246cd2dcc1
holistic	he980	516	340115cc6c6d
conventional	ce1173	516	064cde1b95c2
holistic	he981	517	d88a63648a3e
