season  pop           alive  births  deaths  best/mean lifetime  mean age  max age
   233  holistic         60       1       1  1.940/1.006           33.5       53
   233  conventional     60       1       1  1.817/0.787           24.6       48
   234  holistic         60       1       1  1.898/1.001           34.5       54
   234  conventional     60       1       1  1.631/0.813           25.5       49
   235  holistic         60       0       0  2.409/1.039           35.5       55
   235  conventional     60       1       1  1.613/0.787           26.5       50
   236  holistic         60       0       0  2.101/1.049           36.5       56
   236  conventional     60       1       1  1.602/0.756           27.4       51
   237  holistic         60       0       0  2.462/1.061           37.5       57
   237  conventional     60       0       0  1.891/0.745           28.4       52
   238  holistic         60       0       0  2.060/1.044           38.5       58
   238  conventional     60       1       1  1.676/0.754           29.4       53
   239  holistic         60       0       0  2.295/1.053           39.5       59
   239  conventional     60       0       0  1.744/0.783           30.4       54
   240  holistic         60       2       2  2.109/0.989           38.5       57
   240  conventional     60       0       0  1.567/0.767           31.4       55
   241  holistic         60       0       0  2.236/0.992           39.5       58
   241  conventional     60       1       1  1.420/0.738           32.3       56
   242  holistic         60       0       0  2.212/1.001           40.5       59
   242  conventional     60       1       1  3.345/0.783           33.2       57
   243  holistic         60       1       1  2.066/0.983           40.5       59
   243  conventional     60       1       1  1.399/0.717           33.6       58
   244  holistic         60       2       2  1.996/0.935           39.5       59
   244  conventional     60       0       0  1.381/0.713           34.6       59
   245  holistic         60       3       3  1.934/0.884           37.5       59
   245  conventional     60       3       3  1.234/0.686           33.6       59
   246  holistic         60       1       1  1.878/0.898           37.5       58
   246  conventional     60       1       1  3.616/0.804           33.6       59
   247  holistic         60       1       1  1.879/0.911           38.4       59
   247  conventional     60       2       2  2.112/0.757           33.6       59
   248  holistic         60       2       2  1.898/0.837           37.4       59
   248  conventional     60       2       2  2.168/0.720           32.6       57
   249  holistic         60       3       3  2.972/0.910           37.3       57
   249  conventional     60       1       1  2.524/0.787           33.5       58
   250  holistic         60       0       0  2.474/0.948           38.3       58
   250  conventional     60       0       0  1.696/0.738           34.5       59
   251  holistic         60       0       0  2.640/0.943           39.3       59
   251  conventional     60       1       1  1.499/0.737           34.5       59
   252  holistic         60       3       3  2.473/0.922           38.2       59
   252  conventional     60       1       1  1.497/0.702           34.5       59
   253  holistic         60       2       2  1.973/0.944           38.1       59
   253  conventional     60       1       1  1.620/0.726           34.5       58
   254  holistic         60       4       4  3.892/0.890           35.1       59
   254  conventional     60       2       2  1.494/0.713           35.5       59
   255  holistic         60       4       4  2.561/0.906           32.1       59
   255  conventional     60       2       2  1.594/0.741           34.8       59
   256  holistic         60       3       3  3.423/0.879           30.1       59
   256  conventional     60       2       2  4.028/0.755           34.7       58
   257  holistic         60       4       4  4.587/0.931           29.0       59
