# RBT-102 structural carriage -- runs/RBT-90/forage-805

seed 805; state.json season 600 of 600; fauna: conventional (fixed_body 'pioneer'); window seasons 300-599
genomes saved at birth: 1286; living names without a genome: 0

## Positive control (before any number)

  20 window genomes (seed 102); installs ((1.0, 1.0), (8.0, -1.0)) (w, sign)
  installed motif detected 40 of 40; install invalid 0; bare genomes carrying 0 of 20
  positive control: PASSED

## Carriage per season (living conventional fauna)

| season | alive | carriers | fraction | mean depth |
| 139 | 60 | 0 | 0.0000 | 4.8 |
| 140 | 60 | 0 | 0.0000 | 4.8 |
| 141 | 60 | 0 | 0.0000 | 4.9 |
| 142 | 60 | 0 | 0.0000 | 5.0 |
| 143 | 60 | 0 | 0.0000 | 5.0 |
| 144 | 60 | 0 | 0.0000 | 5.1 |
| 145 | 60 | 0 | 0.0000 | 5.1 |
| 146 | 60 | 0 | 0.0000 | 5.2 |
| 147 | 60 | 0 | 0.0000 | 5.2 |
| 148 | 60 | 0 | 0.0000 | 5.3 |
| 149 | 60 | 0 | 0.0000 | 5.3 |
| 150 | 60 | 0 | 0.0000 | 5.3 |
| 151 | 60 | 0 | 0.0000 | 5.3 |
| 152 | 60 | 0 | 0.0000 | 5.2 |
| 153 | 60 | 0 | 0.0000 | 5.3 |
| 154 | 60 | 0 | 0.0000 | 5.3 |
| 155 | 60 | 0 | 0.0000 | 5.4 |
| 156 | 60 | 0 | 0.0000 | 5.4 |
| 157 | 60 | 0 | 0.0000 | 5.4 |
| 158 | 60 | 0 | 0.0000 | 5.6 |
| 159 | 60 | 0 | 0.0000 | 5.6 |
| 160 | 60 | 0 | 0.0000 | 5.6 |
| 161 | 60 | 0 | 0.0000 | 5.6 |
| 162 | 60 | 0 | 0.0000 | 5.6 |
| 163 | 60 | 0 | 0.0000 | 5.6 |
| 164 | 60 | 0 | 0.0000 | 5.6 |
| 165 | 60 | 0 | 0.0000 | 5.8 |
| 166 | 60 | 0 | 0.0000 | 5.7 |
| 167 | 60 | 0 | 0.0000 | 5.8 |
| 168 | 60 | 0 | 0.0000 | 5.8 |
| 169 | 60 | 0 | 0.0000 | 5.9 |
| 170 | 60 | 0 | 0.0000 | 6.0 |
| 171 | 60 | 0 | 0.0000 | 5.9 |
| 172 | 60 | 0 | 0.0000 | 5.9 |
| 173 | 60 | 0 | 0.0000 | 5.9 |
| 174 | 60 | 0 | 0.0000 | 6.0 |
| 175 | 60 | 0 | 0.0000 | 6.0 |
| 176 | 60 | 0 | 0.0000 | 6.0 |
| 177 | 60 | 0 | 0.0000 | 6.0 |
| 178 | 60 | 0 | 0.0000 | 6.0 |
| 179 | 60 | 0 | 0.0000 | 6.0 |
| 180 | 60 | 0 | 0.0000 | 6.0 |
| 181 | 60 | 0 | 0.0000 | 6.1 |
| 182 | 60 | 0 | 0.0000 | 6.1 |
| 183 | 60 | 0 | 0.0000 | 6.1 |
| 184 | 60 | 0 | 0.0000 | 6.0 |
| 185 | 60 | 0 | 0.0000 | 6.0 |
| 186 | 60 | 0 | 0.0000 | 6.1 |
| 187 | 60 | 0 | 0.0000 | 6.1 |
| 188 | 60 | 0 | 0.0000 | 6.1 |
| 189 | 60 | 0 | 0.0000 | 6.2 |
| 190 | 60 | 0 | 0.0000 | 6.3 |
| 191 | 60 | 0 | 0.0000 | 6.5 |
| 192 | 60 | 0 | 0.0000 | 6.5 |
| 193 | 60 | 0 | 0.0000 | 6.7 |
| 194 | 60 | 0 | 0.0000 | 6.7 |
| 195 | 60 | 0 | 0.0000 | 6.7 |
| 196 | 60 | 0 | 0.0000 | 6.8 |
| 197 | 60 | 0 | 0.0000 | 6.9 |
| 198 | 60 | 0 | 0.0000 | 7.0 |
| 199 | 60 | 0 | 0.0000 | 7.2 |
| 200 | 60 | 0 | 0.0000 | 7.3 |
| 201 | 60 | 0 | 0.0000 | 7.3 |
| 202 | 60 | 0 | 0.0000 | 7.3 |
| 203 | 60 | 0 | 0.0000 | 7.3 |
| 204 | 60 | 0 | 0.0000 | 7.4 |
| 205 | 60 | 0 | 0.0000 | 7.4 |
| 206 | 60 | 0 | 0.0000 | 7.5 |
| 207 | 60 | 0 | 0.0000 | 7.5 |
| 208 | 60 | 0 | 0.0000 | 7.6 |
| 209 | 60 | 0 | 0.0000 | 7.6 |
| 210 | 60 | 0 | 0.0000 | 7.8 |
| 211 | 60 | 0 | 0.0000 | 7.8 |
| 212 | 60 | 0 | 0.0000 | 7.8 |
| 213 | 60 | 0 | 0.0000 | 7.9 |
| 214 | 60 | 0 | 0.0000 | 7.9 |
| 215 | 60 | 0 | 0.0000 | 8.0 |
| 216 | 60 | 0 | 0.0000 | 8.0 |
| 217 | 60 | 0 | 0.0000 | 8.1 |
| 218 | 60 | 0 | 0.0000 | 8.1 |
| 219 | 60 | 0 | 0.0000 | 8.2 |
| 220 | 60 | 0 | 0.0000 | 8.2 |
| 221 | 60 | 0 | 0.0000 | 8.3 |
| 222 | 60 | 0 | 0.0000 | 8.3 |
| 223 | 60 | 0 | 0.0000 | 8.3 |
| 224 | 60 | 0 | 0.0000 | 8.3 |
| 225 | 60 | 0 | 0.0000 | 8.4 |
| 226 | 60 | 0 | 0.0000 | 8.2 |
| 227 | 60 | 0 | 0.0000 | 8.3 |
| 228 | 60 | 0 | 0.0000 | 8.5 |
| 229 | 60 | 0 | 0.0000 | 8.5 |
| 230 | 60 | 0 | 0.0000 | 8.5 |
| 231 | 60 | 0 | 0.0000 | 8.5 |
| 232 | 60 | 0 | 0.0000 | 8.5 |
| 233 | 60 | 0 | 0.0000 | 8.6 |
| 234 | 60 | 0 | 0.0000 | 8.6 |
| 235 | 60 | 0 | 0.0000 | 8.7 |
| 236 | 60 | 0 | 0.0000 | 8.9 |
| 237 | 60 | 0 | 0.0000 | 9.0 |
| 238 | 60 | 0 | 0.0000 | 9.0 |
| 239 | 60 | 0 | 0.0000 | 9.0 |
| 240 | 60 | 0 | 0.0000 | 9.1 |
| 241 | 60 | 0 | 0.0000 | 9.1 |
| 242 | 60 | 0 | 0.0000 | 9.1 |
| 243 | 60 | 0 | 0.0000 | 9.1 |
| 244 | 60 | 0 | 0.0000 | 9.2 |
| 245 | 60 | 0 | 0.0000 | 9.2 |
| 246 | 60 | 0 | 0.0000 | 9.2 |
| 247 | 60 | 0 | 0.0000 | 9.2 |
| 248 | 60 | 0 | 0.0000 | 9.1 |
| 249 | 60 | 0 | 0.0000 | 9.1 |
| 250 | 60 | 0 | 0.0000 | 9.1 |
| 251 | 60 | 0 | 0.0000 | 9.1 |
| 252 | 60 | 0 | 0.0000 | 9.2 |
| 253 | 60 | 0 | 0.0000 | 9.1 |
| 254 | 60 | 0 | 0.0000 | 9.2 |
| 255 | 60 | 0 | 0.0000 | 9.2 |
| 256 | 60 | 0 | 0.0000 | 9.3 |
| 257 | 60 | 0 | 0.0000 | 9.5 |
| 258 | 60 | 0 | 0.0000 | 9.5 |
| 259 | 60 | 0 | 0.0000 | 9.5 |
| 260 | 60 | 0 | 0.0000 | 9.4 |
| 261 | 60 | 0 | 0.0000 | 9.5 |
| 262 | 60 | 0 | 0.0000 | 9.6 |
| 263 | 60 | 0 | 0.0000 | 9.7 |
| 264 | 60 | 0 | 0.0000 | 9.9 |
| 265 | 60 | 0 | 0.0000 | 9.8 |
| 266 | 60 | 0 | 0.0000 | 9.8 |
| 267 | 60 | 0 | 0.0000 | 9.8 |
| 268 | 60 | 0 | 0.0000 | 9.8 |
| 269 | 60 | 0 | 0.0000 | 9.7 |
| 270 | 60 | 0 | 0.0000 | 9.7 |
| 271 | 60 | 0 | 0.0000 | 9.8 |
| 272 | 60 | 0 | 0.0000 | 9.8 |
| 273 | 60 | 0 | 0.0000 | 9.9 |
| 274 | 60 | 0 | 0.0000 | 10.0 |
| 275 | 60 | 0 | 0.0000 | 10.0 |
| 276 | 60 | 0 | 0.0000 | 10.0 |
| 277 | 60 | 0 | 0.0000 | 10.1 |
| 278 | 60 | 0 | 0.0000 | 10.2 |
| 279 | 60 | 0 | 0.0000 | 10.2 |
| 280 | 60 | 0 | 0.0000 | 10.2 |
| 281 | 60 | 0 | 0.0000 | 10.2 |
| 282 | 60 | 0 | 0.0000 | 10.2 |
| 283 | 60 | 0 | 0.0000 | 10.2 |
| 284 | 60 | 0 | 0.0000 | 10.3 |
| 285 | 60 | 0 | 0.0000 | 10.4 |
| 286 | 60 | 0 | 0.0000 | 10.4 |
| 287 | 60 | 0 | 0.0000 | 10.4 |
| 288 | 60 | 0 | 0.0000 | 10.6 |
| 289 | 60 | 0 | 0.0000 | 10.6 |
| 290 | 60 | 0 | 0.0000 | 10.7 |
| 291 | 60 | 0 | 0.0000 | 10.7 |
| 292 | 60 | 0 | 0.0000 | 10.8 |
| 293 | 60 | 0 | 0.0000 | 10.8 |
| 294 | 60 | 0 | 0.0000 | 10.7 |
| 295 | 60 | 0 | 0.0000 | 10.8 |
| 296 | 60 | 0 | 0.0000 | 10.8 |
| 297 | 60 | 0 | 0.0000 | 10.8 |
| 298 | 60 | 0 | 0.0000 | 10.8 |
| 299 | 60 | 0 | 0.0000 | 10.8 |
| 300 | 60 | 0 | 0.0000 | 10.9 |
| 301 | 60 | 0 | 0.0000 | 10.9 |
| 302 | 60 | 0 | 0.0000 | 10.9 |
| 303 | 60 | 0 | 0.0000 | 10.9 |
| 304 | 60 | 0 | 0.0000 | 10.9 |
| 305 | 60 | 0 | 0.0000 | 10.9 |
| 306 | 60 | 0 | 0.0000 | 10.9 |
| 307 | 60 | 0 | 0.0000 | 10.8 |
| 308 | 60 | 0 | 0.0000 | 10.9 |
| 309 | 60 | 0 | 0.0000 | 11.1 |
| 310 | 60 | 0 | 0.0000 | 11.1 |
| 311 | 60 | 0 | 0.0000 | 11.1 |
| 312 | 60 | 0 | 0.0000 | 11.0 |
| 313 | 60 | 0 | 0.0000 | 11.0 |
| 314 | 60 | 0 | 0.0000 | 10.9 |
| 315 | 60 | 0 | 0.0000 | 11.0 |
| 316 | 60 | 0 | 0.0000 | 11.0 |
| 317 | 60 | 0 | 0.0000 | 11.0 |
| 318 | 60 | 0 | 0.0000 | 11.0 |
| 319 | 60 | 0 | 0.0000 | 10.9 |
| 320 | 60 | 0 | 0.0000 | 11.1 |
| 321 | 60 | 0 | 0.0000 | 11.2 |
| 322 | 60 | 0 | 0.0000 | 11.2 |
| 323 | 60 | 0 | 0.0000 | 11.2 |
| 324 | 60 | 0 | 0.0000 | 11.3 |
| 325 | 60 | 0 | 0.0000 | 11.4 |
| 326 | 60 | 0 | 0.0000 | 11.6 |
| 327 | 60 | 0 | 0.0000 | 11.6 |
| 328 | 60 | 0 | 0.0000 | 11.5 |
| 329 | 60 | 0 | 0.0000 | 11.5 |
| 330 | 60 | 0 | 0.0000 | 11.4 |
| 331 | 60 | 0 | 0.0000 | 11.5 |
| 332 | 60 | 0 | 0.0000 | 11.6 |
| 333 | 60 | 0 | 0.0000 | 11.4 |
| 334 | 60 | 0 | 0.0000 | 11.5 |
| 335 | 60 | 0 | 0.0000 | 11.5 |
| 336 | 60 | 0 | 0.0000 | 11.5 |
| 337 | 60 | 0 | 0.0000 | 11.6 |
| 338 | 60 | 0 | 0.0000 | 11.6 |
| 339 | 60 | 0 | 0.0000 | 11.7 |
| 340 | 60 | 0 | 0.0000 | 11.7 |
| 341 | 60 | 0 | 0.0000 | 11.8 |
| 342 | 60 | 0 | 0.0000 | 11.8 |
| 343 | 60 | 0 | 0.0000 | 11.8 |
| 344 | 60 | 0 | 0.0000 | 11.8 |
| 345 | 60 | 0 | 0.0000 | 11.9 |
| 346 | 60 | 0 | 0.0000 | 11.9 |
| 347 | 60 | 0 | 0.0000 | 11.9 |
| 348 | 60 | 0 | 0.0000 | 11.8 |
| 349 | 60 | 0 | 0.0000 | 11.8 |
| 350 | 60 | 0 | 0.0000 | 11.8 |
| 351 | 60 | 0 | 0.0000 | 11.8 |
| 352 | 60 | 0 | 0.0000 | 11.8 |
| 353 | 60 | 0 | 0.0000 | 11.8 |
