season	population	alive	energy_head	ran	starved	aged	net_survivors	net_all_ub	food	work
127	holistic	60	27.0839	60	0	0	1.1499	1.1499	1.3333	0.1834
127	conventional	60	21.2632	57	0	3	0.9094	0.9094	1.4211	0.5116
128	holistic	60	27.7180	60	0	0	0.8841	0.8841	1.0667	0.1825
128	conventional	60	21.6580	60	0	0	0.6448	0.6448	1.1500	0.5052
129	holistic	60	28.4476	60	0	0	0.9795	0.9795	1.1667	0.1871
129	conventional	60	21.7405	57	2	1	0.9878	0.9558	1.4912	0.5035
130	holistic	60	28.6412	59	0	1	1.2081	1.2081	1.3898	0.1817
130	conventional	60	22.2992	60	0	0	0.8087	0.8087	1.3333	0.5246
131	holistic	60	28.4967	59	0	1	0.8687	0.8687	1.0508	0.1821
131	conventional	60	22.4215	57	1	2	1.4115	1.3895	1.9298	0.5183
132	holistic	60	28.5744	59	0	1	0.7175	0.7175	0.8983	0.1808
132	conventional	60	23.2010	58	1	1	1.2922	1.2720	1.8103	0.5182
133	holistic	60	29.2355	60	0	0	0.9111	0.9111	1.0833	0.1723
133	conventional	60	23.9227	59	0	1	1.1624	1.1624	1.6949	0.5326
134	holistic	60	29.7313	59	0	1	0.8186	0.8186	1.0000	0.1814
134	conventional	60	21.3729	54	2	4	0.7155	0.6865	1.2407	0.5252
135	holistic	60	29.6505	57	1	2	1.3813	1.3575	1.5614	0.1801
135	conventional	60	21.9218	60	0	0	0.7989	0.7989	1.3167	0.5178
136	holistic	60	30.5311	60	0	0	1.1305	1.1305	1.3167	0.1861
136	conventional	60	20.2262	56	1	3	0.7680	0.7480	1.2857	0.5178
137	holistic	60	31.1540	59	1	0	0.8918	0.8729	1.0678	0.1760
137	conventional	60	20.1109	59	0	1	0.9714	0.9714	1.4915	0.5201
138	holistic	60	31.0245	59	0	1	1.0136	1.0136	1.1864	0.1729
138	conventional	60	20.4941	60	0	0	0.6333	0.6333	1.1500	0.5167
139	holistic	60	31.5972	60	0	0	0.8227	0.8227	1.0000	0.1773
139	conventional	60	20.3789	57	2	1	0.5333	0.5023	1.0526	0.5193
140	holistic	60	31.4726	59	0	1	0.8592	0.8592	1.0339	0.1747
140	conventional	60	19.8549	58	1	1	0.6990	0.6862	1.2241	0.5251
141	holistic	60	31.9722	60	0	0	0.7496	0.7496	0.9167	0.1671
141	conventional	60	19.0120	56	1	3	0.6905	0.6780	1.2143	0.5238
142	holistic	60	32.4699	59	1	0	0.7595	0.7477	0.9322	0.1727
142	conventional	60	16.6512	56	0	4	0.2478	0.2478	0.7857	0.5379
143	holistic	60	29.4412	55	0	5	1.2105	1.2105	1.3818	0.1713
143	conventional	60	17.2798	58	2	0	0.9121	0.8786	1.4483	0.5362
144	holistic	60	28.9780	57	1	2	0.8743	0.8595	1.0526	0.1784
144	conventional	60	15.9365	51	5	4	1.0233	0.9284	1.5490	0.5257
145	holistic	60	27.1020	56	0	4	0.7227	0.7227	0.8929	0.1701
145	conventional	60	16.3285	59	0	1	1.0405	1.0405	1.5763	0.5358
146	holistic	60	25.6720	57	0	3	0.7050	0.7050	0.8772	0.1722
146	conventional	60	16.9920	59	0	1	1.2970	1.2970	1.8305	0.5335
147	holistic	60	22.3994	53	2	5	0.7567	0.7301	0.9434	0.1867
147	conventional	60	16.8086	59	0	1	0.7335	0.7335	1.2712	0.5377
148	holistic	60	19.9293	55	2	3	0.5947	0.5729	0.7636	0.1689
148	conventional	60	15.0782	57	0	3	0.2514	0.2514	0.7719	0.5205
149	holistic	60	17.8155	56	1	3	0.6618	0.6523	0.8393	0.1775
149	conventional	60	15.5927	59	1	0	0.7789	0.7644	1.3051	0.5262
150	holistic	60	16.5558	56	2	2	0.9205	0.8833	1.0893	0.1687
150	conventional	60	14.5230	59	0	1	0.1666	0.1666	0.6949	0.5284
151	holistic	60	15.7466	54	4	2	0.8969	0.8400	1.0741	0.1771
151	conventional	60	15.3368	59	1	0	1.0789	1.0637	1.6102	0.5313
152	holistic	60	13.9970	54	3	3	0.9491	0.9069	1.1296	0.1805
152	conventional	60	15.4607	57	2	1	1.1033	1.0512	1.6316	0.5283
153	holistic	60	13.4485	56	1	3	0.9336	0.9173	1.1071	0.1735
153	conventional	60	14.6936	59	0	1	0.5355	0.5355	1.0508	0.5154
154	holistic	60	13.9580	58	2	0	0.7809	0.7596	0.9655	0.1846
154	conventional	60	14.9762	59	1	0	0.5454	0.5326	1.0678	0.5224
155	holistic	60	11.9483	55	2	3	1.0144	0.9805	1.2182	0.2038
155	conventional	60	14.2683	57	1	2	0.9654	0.9504	1.4912	0.5259
156	holistic	60	12.1449	59	1	0	0.4541	0.4465	0.6441	0.1900
156	conventional	60	14.4139	58	2	0	0.4076	0.3955	0.9310	0.5234
157	holistic	60	11.9545	58	1	1	0.6950	0.6813	0.8793	0.1843
