population	name	generation	age	evals	fitness	parents
holistic	he809	452	3	3	0.0	he767
holistic	he810	508	59	59	1.3085	he745
holistic	he811	508	59	59	0.9888	he753
conventional	ce958	508	59	59	1.2115	ce889
conventional	ce959	508	59	59	0.7923	ce924
conventional	ce960	451	2	2	-0.196	ce944
holistic	he812	453	3	3	0.0	he756,he778
holistic	he813	509	59	59	1.4189	he796
holistic	he814	509	59	59	1.2497	he792,he779
holistic	he815	453	3	3	-0.0248	he803,he794
holistic	he816	509	59	59	1.0278	he761
holistic	he817	509	59	59	0.8836	he754
conventional	ce961	450	0	0	0.0	ce877,ce919
conventional	ce962	509	59	59	0.6909	ce919
conventional	ce963	452	2	2	-0.1175	ce884
holistic	he818	454	3	3	-0.0113	he793
conventional	ce964	451	0	0	0.0	ce922
holistic	he819	511	59	59	1.3969	he808,he764
holistic	he820	455	3	3	-0.0005	he782,he773
conventional	ce965	511	59	59	0.8236	ce905
conventional	ce966	454	2	2	-0.1639	ce893
conventional	ce967	511	59	59	0.7972	ce948
conventional	ce968	511	59	59	0.3181	ce924
conventional	ce969	457	5	5	0.2056	ce951,ce894
holistic	he821	512	59	59	0.9557	he764
holistic	he822	512	59	59	1.3918	he786
conventional	ce970	512	59	59	0.7254	ce935
holistic	he823	513	59	59	1.0967	he745
holistic	he824	513	59	59	0.2887	he737,he773
holistic	he825	514	59	59	1.264	he796
conventional	ce971	458	3	3	-0.008	ce900
conventional	ce972	514	59	59	0.4204	ce902
holistic	he826	515	59	59	1.0162	he784
holistic	he827	516	59	59	1.468	he823
holistic	he828	516	59	59	1.8482	he759
holistic	he829	516	59	59	1.1673	he757
conventional	ce973	516	59	59	0.9755	ce935
conventional	ce974	466	9	9	0.2029	ce930
holistic	he830	517	59	59	0.8985	he766
conventional	ce975	517	59	59	0.6477	ce939
conventional	ce976	460	2	2	0.0564	ce950
conventional	ce977	517	59	59	0.9997	ce923
holistic	he831	462	3	3	-0.0004	he814
conventional	ce978	518	59	59	1.1921	ce923
conventional	ce979	518	59	59	0.8748	ce900,ce952
holistic	he832	519	59	59	1.4832	he803
conventional	ce980	519	59	59	0.6572	ce893
holistic	he833	464	3	3	-0.0011	he781,he799
holistic	he834	520	59	59	0.954	he821
conventional	ce981	520	59	59	0.6866	ce917
conventional	ce982	463	2	2	-0.0302	ce892
holistic	he835	521	59	59	0.7097	he772,he757
holistic	he836	521	59	59	0.8387	he822
conventional	ce983	521	59	59	1.0015	ce970
conventional	ce984	464	2	2	-0.0943	ce920,ce893
conventional	ce985	521	59	59	0.4636	ce947
holistic	he837	466	3	3	-0.0001	he758,he789
holistic	he838	523	59	59	0.7476	he801
conventional	ce986	479	15	15	0.215	ce970
holistic	he839	524	59	59	0.3592	he816
holistic	he840	524	59	59	1.0288	he794
conventional	ce987	524	59	59	1.1163	ce923
conventional	ce988	524	59	59	0.8199	ce922
conventional	ce989	467	2	2	-0.0613	ce959
holistic	he841	506	39	39	0.2534	he810,he764
holistic	he842	470	3	3	-0.0054	he826
conventional	ce990	526	59	59	0.6372	ce951,ce958
conventional	ce991	468	1	1	-0.2894	ce913
conventional	ce992	467	0	0	0.0	ce917
conventional	ce993	469	2	2	-0.1807	ce981,ce937
holistic	he843	469	1	1	-0.2782	he761
holistic	he844	527	59	59	1.5452	he821
conventional	ce994	527	59	59	0.8122	ce935,ce979
conventional	ce995	470	2	2	-0.0833	ce927
conventional	ce996	528	59	59	0.7234	ce905
holistic	he845	529	59	59	1.1547	he781
holistic	he846	481	11	11	0.1652	he778
conventional	ce997	483	13	13	0.2029	ce968
conventional	ce998	529	59	59	1.3664	ce973
conventional	ce999	491	21	21	0.2198	ce924,ce972
holistic	he847	474	3	3	-0.0352	he785
holistic	he848	530	59	59	1.0643	he764,he785
conventional	ce1000	471	0	0	0.0	ce935
conventional	ce1001	530	59	59	0.7991	ce951
holistic	he849	531	59	59	1.104	he840
conventional	ce1002	531	59	59	1.1128	ce947
conventional	ce1003	473	0	0	0.0	ce981
holistic	he850	533	59	59	1.0681	he775
holistic	he851	476	2	2	-0.2343	he830
conventional	ce1004	533	59	59	1.2819	ce975,ce952
conventional	ce1005	533	59	59	0.9066	ce970
conventional	ce1006	533	59	59	0.8434	ce981
holistic	he852	534	59	59	1.171	he784
holistic	he853	534	59	59	0.6638	he772
conventional	ce1007	477	2	2	-0.2235	ce927
holistic	he854	536	59	59	0.5993	he814,he835
holistic	he855	536	59	59	0.5977	he789
conventional	ce1008	479	2	2	-0.1	ce947
conventional	ce1009	537	59	59	1.0818	ce952
holistic	he856	486	7	7	0.1105	he796
conventional	ce1010	538	59	59	1.4323	ce998
conventional	ce1011	539	59	59	0.6672	ce940
conventional	ce1012	539	59	59	0.9863	ce941
conventional	ce1013	539	59	59	1.1662	ce953
conventional	ce1014	501	21	21	0.2414	ce981,ce965
conventional	ce1015	539	59	59	1.281	ce970
conventional	ce1016	480	0	0	0.0	ce973
conventional	ce1017	539	59	59	1.1825	ce935
conventional	ce1018	480	0	0	0.0	ce923,ce937
conventional	ce1019	539	59	59	0.9161	ce967
holistic	he857	540	59	59	0.3191	he841
conventional	ce1020	540	59	59	0.9907	ce923,ce1005
conventional	ce1021	481	0	0	0.0	ce985
holistic	he858	485	3	3	0.0	he823,he821
holistic	he859	485	3	3	0.0	he779,he849
conventional	ce1022	485	3	3	0.023	ce942
holistic	he860	542	59	59	1.0736	he797
conventional	ce1023	483	0	0	0.0	ce985
conventional	ce1024	484	1	1	0.2735	ce952
conventional	ce1025	485	1	1	-0.6339	ce939
conventional	ce1026	543	59	59	1.0667	ce936
conventional	ce1027	544	59	59	0.4783	ce968
holistic	he861	497	11	11	0.1775	he816
holistic	he862	545	59	59	1.6778	he786,he819
conventional	ce1028	545	59	59	0.5072	ce942,ce1010
conventional	ce1029	545	59	59	1.1218	ce962,ce1026
holistic	he863	546	59	59	0.6906	he829
holistic	he864	549	59	59	1.4066	he827
conventional	ce1030	494	2	2	-0.1413	ce1005
conventional	ce1031	494	2	2	0.1074	ce1002,ce994
holistic	he865	552	59	59	0.3556	he839
holistic	he866	552	59	59	0.8348	he817
conventional	ce1032	494	1	1	-0.4018	ce967,ce937
holistic	he867	554	59	59	0.5087	he811,he784
holistic	he868	554	59	59	0.7895	he787
conventional	ce1033	554	59	59	0.777	ce947
conventional	ce1034	554	59	59	1.7097	ce979
conventional	ce1035	498	3	3	0.0106	ce978
conventional	ce1036	496	1	1	-0.4949	ce990
conventional	ce1037	554	59	59	0.7346	ce944
