# RBT-101 positive-control table, seed 804: C0 alive at 139, P alive at 300; from runs/RBT-90/forage-804 as restored from ckpt/rbt-90-804 at b0bbcda141 (345/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors
P	holistic	he540	1.895238	15.801126	1	2.895238	18.611926	2.395238	17.206526	-	-	he265,he285,he287,he329
P	holistic	he541	0.939484	0.939484	1	1.939484	1.939484	1.439484	1.439484	-	-	he265,he276,he284,he289,he295,he329
P	holistic	he544	0.000000	0.000000	0	-	-	-	-	-	-	he256,he287,he295,he296
P	holistic	he545	1.367635	12.699304	1	2.367635	13.699304	1.867635	13.199304	-	-	he265,he285,he287,he329
P	holistic	he547	0.588214	0.588214	1	1.588214	3.253689	1.088214	1.920951	-	-	he265,he276,he284,he289,he295,he329
P	holistic	he549	0.791718	0.791718	1	1.791718	3.456150	1.291718	2.123933	-	-	he265,he329
P	holistic	he551	1.674402	1.674402	1	2.674402	3.988193	2.174402	2.831298	-	-	he265,he276,he284,he289,he295,he304,he329
P	holistic	he552	0.000000	0.000000	0	-	-	-	-	-	-	he256,he287,he295,he296,he311
P	holistic	he555	1.232175	1.404427	1	1.693967	2.233215	1.193967	1.549717	-	-	he256,he289
P	holistic	he557	1.500258	8.647262	1	2.500258	9.647262	2.000258	9.147262	-	-	he265,he285,he287,he329
P	holistic	he558	0.588214	0.588214	1	1.588214	1.588214	1.088214	1.088214	-	-	he265,he276,he284,he289,he295,he329
P	holistic	he559	0.588214	0.588214	1	1.588214	1.588214	1.088214	1.088214	-	-	he256,he265,he276,he284,he287,he289,he295,he296,he304,he329
P	holistic	he560	0.000000	0.000000	1	1.000000	1.467698	0.500000	0.733849	-	-	he256,he289,he296
P	holistic	he561	0.061750	0.061750	1	1.061750	1.061750	0.561750	0.561750	-	-	he256,he287,he295,he296,he311,he329
P	holistic	he562	0.253114	0.256159	1	1.253114	2.853106	0.753114	1.554632	-	-	he260,he320,he334
P	holistic	he563	0.882321	0.882321	1	1.882321	1.882321	1.382321	1.382321	-	-	he265,he276,he284,he285,he287,he289,he295,he329
P	holistic	he565	0.092625	0.092625	1	1.092625	3.182100	0.592625	1.637363	-	-	he265,he276,he284,he287,he289,he329
P	holistic	he566	0.588214	0.588214	1	1.588214	1.588214	1.088214	1.088214	-	-	he265,he276,he284,he289,he295,he329
P	holistic	he568	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he282
P	holistic	he572	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he282
