population	name	born	body
conventional	ce139	22	064cde1b95c2
conventional	ce140	22	064cde1b95c2
holistic	he150	23	5d692f42de34
holistic	he151	23	f67cf9fa6851
holistic	he152	23	018b629fcf3d
holistic	he153	23	40b796574d75
holistic	he154	23	1dd5775bc591
holistic	he155	23	5945b556ebc8
holistic	he156	23	67a0b3668481
holistic	he157	23	91bda5b3e487
holistic	he158	23	46ea9526a83a
conventional	ce141	23	064cde1b95c2
conventional	ce142	23	064cde1b95c2
conventional	ce143	23	064cde1b95c2
holistic	he159	24	2732dcd40e90
holistic	he160	24	d16337247e10
holistic	he161	24	49527db066f5
holistic	he162	24	c66a2d109b7e
conventional	ce144	24	064cde1b95c2
conventional	ce145	24	064cde1b95c2
holistic	he163	25	ab552698ca8a
holistic	he164	25	cf9066698363
holistic	he165	25	f68b3ce5ed7f
conventional	ce146	25	064cde1b95c2
holistic	he166	26	b14d9aec96c5
holistic	he167	26	ccb4da8a2451
conventional	ce147	26	064cde1b95c2
holistic	he168	27	a1eab03c7c6d
holistic	he169	27	81aee1d2d32f
holistic	he170	27	782fa584a0f3
holistic	he171	27	278f21a7e423
holistic	he172	27	b743fbe4f1ab
conventional	ce148	27	064cde1b95c2
holistic	he173	28	bc3be80ecf6f
holistic	he174	28	cdc180542c74
conventional	ce149	28	064cde1b95c2
conventional	ce150	28	064cde1b95c2
holistic	he175	29	ce6920b031bd
holistic	he176	29	0ebb8b66ae2a
holistic	he177	29	cff7b1bef6a7
holistic	he178	29	55dc42a9e3f7
conventional	ce151	29	064cde1b95c2
conventional	ce152	29	064cde1b95c2
conventional	ce153	29	064cde1b95c2
holistic	he179	30	d25771107057
holistic	he180	30	8ffda14168a1
holistic	he181	30	05d30d1303be
conventional	ce154	30	064cde1b95c2
holistic	he182	31	0ebb8b66ae2a
holistic	he183	31	c44afe6e4136
holistic	he184	31	870fe2c81983
conventional	ce155	31	064cde1b95c2
conventional	ce156	31	064cde1b95c2
conventional	ce157	31	064cde1b95c2
conventional	ce158	31	064cde1b95c2
holistic	he185	32	da7847acb6a0
conventional	ce159	32	064cde1b95c2
conventional	ce160	32	064cde1b95c2
conventional	ce161	32	064cde1b95c2
holistic	he186	33	716cced77d42
holistic	he187	33	6b6bffc984d9
holistic	he188	33	c4ccba623011
conventional	ce162	33	064cde1b95c2
conventional	ce163	33	064cde1b95c2
conventional	ce164	33	064cde1b95c2
conventional	ce165	33	064cde1b95c2
conventional	ce166	33	064cde1b95c2
holistic	he189	34	3db986bf2aa0
holistic	he190	34	99cf134ce34a
holistic	he191	34	5643f8a2dbc6
holistic	he192	34	e5be5a6151b7
conventional	ce167	34	064cde1b95c2
conventional	ce168	34	064cde1b95c2
conventional	ce169	34	064cde1b95c2
conventional	ce170	34	064cde1b95c2
holistic	he193	35	72212b482fca
holistic	he194	35	29ae441db509
conventional	ce171	35	064cde1b95c2
conventional	ce172	35	064cde1b95c2
conventional	ce173	35	064cde1b95c2
conventional	ce174	35	064cde1b95c2
conventional	ce175	36	064cde1b95c2
conventional	ce176	36	064cde1b95c2
holistic	he195	37	9565c62bde1f
conventional	ce177	37	064cde1b95c2
conventional	ce178	37	064cde1b95c2
conventional	ce179	37	064cde1b95c2
conventional	ce180	37	064cde1b95c2
holistic	he196	38	3139bdf3440c
holistic	he197	38	cf9066698363
holistic	he198	38	fdd4f3d609f6
holistic	he199	38	f3be4bc66aa4
holistic	he200	38	1c566157b2b8
conventional	ce181	39	064cde1b95c2
conventional	ce182	39	064cde1b95c2
conventional	ce183	39	064cde1b95c2
conventional	ce184	39	064cde1b95c2
conventional	ce185	40	064cde1b95c2
holistic	he201	41	f40d6e28bf64
holistic	he202	42	aa48c2973d02
conventional	ce186	42	064cde1b95c2
conventional	ce187	43	064cde1b95c2
conventional	ce188	44	064cde1b95c2
conventional	ce189	44	064cde1b95c2
conventional	ce190	44	064cde1b95c2
holistic	he203	46	9cea994ae14b
conventional	ce191	46	064cde1b95c2
conventional	ce192	46	064cde1b95c2
conventional	ce193	47	064cde1b95c2
conventional	ce194	48	064cde1b95c2
conventional	ce195	48	064cde1b95c2
conventional	ce196	49	064cde1b95c2
conventional	ce197	49	064cde1b95c2
holistic	he204	50	cba9e6e8f1b3
conventional	ce198	50	064cde1b95c2
conventional	ce199	50	064cde1b95c2
conventional	ce200	51	064cde1b95c2
conventional	ce201	51	064cde1b95c2
conventional	ce202	52	064cde1b95c2
conventional	ce203	52	064cde1b95c2
conventional	ce204	52	064cde1b95c2
holistic	he205	54	1a792db22e3a
holistic	he206	54	92a8493ba825
conventional	ce205	54	064cde1b95c2
conventional	ce206	54	064cde1b95c2
conventional	ce207	54	064cde1b95c2
conventional	ce208	54	064cde1b95c2
conventional	ce209	55	064cde1b95c2
conventional	ce210	55	064cde1b95c2
conventional	ce211	56	064cde1b95c2
conventional	ce212	57	064cde1b95c2
holistic	he207	58	d869e4607487
conventional	ce213	58	064cde1b95c2
conventional	ce214	58	064cde1b95c2
conventional	ce215	58	064cde1b95c2
conventional	ce216	59	064cde1b95c2
holistic	he208	60	fcb8286a8034
holistic	he209	60	d014093bd565
holistic	he210	61	788a54cd247d
conventional	ce217	61	064cde1b95c2
conventional	ce218	62	064cde1b95c2
conventional	ce219	62	064cde1b95c2
conventional	ce220	62	064cde1b95c2
conventional	ce221	62	064cde1b95c2
conventional	ce222	63	064cde1b95c2
conventional	ce223	63	064cde1b95c2
conventional	ce224	64	064cde1b95c2
conventional	ce225	64	064cde1b95c2
conventional	ce226	64	064cde1b95c2
holistic	he211	65	4330d2c5882c
conventional	ce227	65	064cde1b95c2
conventional	ce228	65	064cde1b95c2
conventional	ce229	65	064cde1b95c2
conventional	ce230	65	064cde1b95c2
conventional	ce231	65	064cde1b95c2
conventional	ce232	65	064cde1b95c2
holistic	he212	66	f888bf4c363a
conventional	ce233	66	064cde1b95c2
conventional	ce234	66	064cde1b95c2
conventional	ce235	66	064cde1b95c2
conventional	ce236	66	064cde1b95c2
conventional	ce237	66	064cde1b95c2
conventional	ce238	67	064cde1b95c2
conventional	ce239	67	064cde1b95c2
conventional	ce240	67	064cde1b95c2
conventional	ce241	67	064cde1b95c2
holistic	he213	68	71c22f5cc535
holistic	he214	68	b539ea2e141b
conventional	ce242	68	064cde1b95c2
conventional	ce243	68	064cde1b95c2
conventional	ce244	68	064cde1b95c2
conventional	ce245	68	064cde1b95c2
conventional	ce246	68	064cde1b95c2
conventional	ce247	69	064cde1b95c2
conventional	ce248	69	064cde1b95c2
conventional	ce249	69	064cde1b95c2
conventional	ce250	69	064cde1b95c2
holistic	he215	70	f4d5546c77e3
holistic	he216	70	218a1719cbd8
conventional	ce251	70	064cde1b95c2
conventional	ce252	70	064cde1b95c2
conventional	ce253	70	064cde1b95c2
conventional	ce254	70	064cde1b95c2
holistic	he217	71	a0f87474b231
conventional	ce255	71	064cde1b95c2
conventional	ce256	71	064cde1b95c2
conventional	ce257	71	064cde1b95c2
holistic	he218	72	3cc8af004939
conventional	ce258	72	064cde1b95c2
conventional	ce259	72	064cde1b95c2
conventional	ce260	72	064cde1b95c2
holistic	he219	73	cae87138ba7b
conventional	ce261	73	064cde1b95c2
conventional	ce262	73	064cde1b95c2
conventional	ce263	73	064cde1b95c2
holistic	he220	74	b4b0f46864bf
holistic	he221	74	683eeccfa4fe
holistic	he222	74	9bffd569cc77
conventional	ce264	74	064cde1b95c2
conventional	ce265	74	064cde1b95c2
conventional	ce266	74	064cde1b95c2
conventional	ce267	74	064cde1b95c2
holistic	he223	75	ef0be64c26b6
holistic	he224	75	936b61bdc957
holistic	he225	75	72c16f2a216d
holistic	he226	75	a775cb34241f
conventional	ce268	75	064cde1b95c2
conventional	ce269	75	064cde1b95c2
conventional	ce270	75	064cde1b95c2
conventional	ce271	75	064cde1b95c2
conventional	ce272	75	064cde1b95c2
holistic	he227	76	d6cf01ccf393
conventional	ce273	76	064cde1b95c2
conventional	ce274	76	064cde1b95c2
