population	name	generation	age	evals	fitness	parents
holistic	he369	153	3	3	-0.0011	he301
conventional	ce450	209	59	59	1.2616	ce335
conventional	ce451	158	8	8	0.1902	ce437
conventional	ce452	157	7	7	0.1244	ce422
holistic	he370	210	59	59	0.5712	he301
holistic	he371	154	3	3	-0.002	he286,he363
holistic	he372	154	3	3	-0.0057	he312
conventional	ce453	210	59	59	0.7185	ce376,ce417
conventional	ce454	210	59	59	0.5921	ce372
holistic	he373	155	3	3	0.0	he345,he366
holistic	he374	154	2	2	-0.2395	he323
conventional	ce455	176	24	24	0.2337	ce383,ce403
conventional	ce456	154	2	2	-0.0669	ce389
holistic	he375	160	7	7	0.1323	he284,he366
conventional	ce457	154	1	1	-0.5988	ce389
conventional	ce458	212	59	59	1.281	ce414
conventional	ce459	212	59	59	0.9909	ce394
holistic	he376	213	59	59	1.0021	he297
holistic	he377	213	59	59	0.6176	he350
holistic	he378	158	3	3	0.0	he305
holistic	he379	158	3	3	-0.003	he318,he290
holistic	he380	214	59	59	0.6403	he364,he287
holistic	he381	214	59	59	0.7301	he296
holistic	he382	158	3	3	-0.0045	he298,he357
conventional	ce460	214	59	59	0.8097	ce357
conventional	ce461	214	59	59	1.3269	ce458
conventional	ce462	214	59	59	0.6608	ce377,ce427
holistic	he383	159	3	3	-0.0118	he299
holistic	he384	159	3	3	-0.0048	he315
holistic	he385	215	59	59	1.0196	he361
conventional	ce463	186	30	30	0.3058	ce424
conventional	ce464	215	59	59	0.896	ce357
holistic	he386	157	0	0	0.0	he317
holistic	he387	216	59	59	1.1137	he312
holistic	he388	159	2	2	-0.2153	he290,he325
holistic	he389	161	3	3	-0.0001	he360
conventional	ce465	217	59	59	0.9706	ce463
holistic	he390	218	59	59	0.8706	he305
holistic	he391	218	59	59	1.3626	he342
holistic	he392	218	59	59	1.7732	he299
holistic	he393	162	3	3	0.0	he323
holistic	he394	218	59	59	0.9222	he381
conventional	ce466	160	1	1	-0.2547	ce387
conventional	ce467	159	0	0	0.0	ce413
conventional	ce468	165	6	6	0.1518	ce437
holistic	he395	163	3	3	-0.0826	he316
holistic	he396	163	3	3	-0.0008	he307
holistic	he397	219	59	59	1.5657	he324
holistic	he398	219	59	59	0.6529	he319
conventional	ce469	219	59	59	0.3331	ce362
holistic	he399	220	59	59	0.7283	he324
holistic	he400	164	3	3	-0.003	he363
holistic	he401	162	1	1	-0.2826	he359
conventional	ce470	163	2	2	-0.1846	ce399,ce390
conventional	ce471	162	1	1	-0.3136	ce430,ce382
holistic	he402	165	3	3	-0.0	he376
holistic	he403	221	59	59	0.284	he397
conventional	ce472	221	59	59	0.9264	ce414,ce377
holistic	he404	166	3	3	0.0	he363
holistic	he405	222	59	59	2.08	he325,he350
holistic	he406	222	59	59	2.1742	he299
conventional	ce473	173	10	10	0.1853	ce423
conventional	ce474	222	59	59	0.6747	ce458
conventional	ce475	222	59	59	1.0541	ce463
conventional	ce476	181	18	18	0.2564	ce399
holistic	he407	223	59	59	0.9924	he305
holistic	he408	167	3	3	-0.0018	he385
holistic	he409	167	3	3	0.0	he333,he361
holistic	he410	223	59	59	1.1743	he325
conventional	ce477	165	1	1	-0.6887	ce403
holistic	he411	224	59	59	1.9889	he366
holistic	he412	168	3	3	-0.0031	he359,he350
holistic	he413	225	59	59	1.0531	he394
conventional	ce478	225	59	59	0.6165	ce424
conventional	ce479	225	59	59	0.4812	ce390
holistic	he414	170	3	3	-0.008	he323
conventional	ce480	174	7	7	0.206	ce459,ce413
