RBT-107 design adversary: power of the directional (one-sided) tests the coordinator asked for, on the design's own
measured null, with its heavy tail kept, and the n each needs.
null rows (seed: A_NB co-evolved, designed) from design_power.txt: 1: +0.380 +0.027, 2: +0.006 +0.225, 3: +1.153 -0.374, 4: +0.125 +0.045, 7: -0.019 -0.108, 801: -0.034 +0.055, 804: -0.082 -0.134, 805: +0.031 +0.198, 806: +0.066 +0.081, 807: +0.000 -0.049
RMS co-evolved 0.388 (no seed 3: 0.139); designed 0.166; paired co - des 0.506 (no seed 3: 0.159); corr(co, des) across seeds -0.66
smoothing bandwidth (co-evolved, designed): 0.036, 0.074; no seed 3: 0.029, 0.064

== DES  null EMPIRICAL  d~240 as measured
   +0.00  15    0.051    0.045    0.054    0.017    0.024
   +0.00  20    0.044    0.040    0.052    0.016    0.022
   +0.00  30    0.050    0.047    0.053    0.049    0.024
   +0.00  40    0.047    0.048    0.055    0.042    0.023
   +0.10  10    0.225    0.204    0.230    0.064    0.138
   +0.10  15    0.303    0.293    0.307    0.137    0.196
   +0.10  20    0.369    0.370    0.370    0.192    0.251
   +0.10  30    0.496    0.492    0.487    0.409    0.369
   +0.10  40    0.588    0.587    0.580    0.453    0.462
   +0.15  10    0.373    0.342    0.370    0.136    0.259
   +0.15  15    0.506    0.505    0.500    0.254    0.377
   +0.15  20    0.638    0.627    0.619    0.372    0.497
   +0.15  30    0.793    0.784    0.775    0.700    0.676
   +0.15  40    0.875    0.872    0.867    0.756    0.790
   +0.22  10    0.626    0.582    0.593    0.282    0.477
   +0.22  15    0.790    0.777    0.770    0.502    0.666
   +0.22  20    0.890    0.881    0.867    0.663    0.806
   +0.22  30    0.971    0.968    0.963    0.923    0.938
   +0.22  40    0.992    0.992    0.990    0.962    0.983
   +0.30  10    0.826    0.783    0.783    0.455    0.698
   +0.30  15    0.948    0.941    0.930    0.763    0.901
   +0.30  20    0.987    0.986    0.980    0.894    0.972
   +0.30  30    1.000    0.999    0.999    0.992    0.998
   +0.30  40    1.000    1.000    1.000    0.999    1.000

== DES  null GAUSS  scaled to d=800 (x1.83)
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.056    0.043    0.064    0.013    0.029
   +0.00  15    0.048    0.046    0.057    0.017    0.024
   +0.00  20    0.048    0.048    0.051    0.018    0.024
   +0.00  30    0.046    0.048    0.055    0.054    0.023
   +0.00  40    0.052    0.052    0.057    0.042    0.029
   +0.10  10    0.250    0.218    0.229    0.064    0.151
   +0.10  15    0.333    0.314    0.303    0.132    0.221
   +0.10  20    0.418    0.396    0.375    0.187    0.287
   +0.10  30    0.535    0.518    0.496    0.410    0.410
   +0.10  40    0.655    0.630    0.605    0.464    0.519
   +0.15  10    0.418    0.372    0.388    0.139    0.288
   +0.15  15    0.559    0.534    0.511    0.259    0.418
   +0.15  20    0.686    0.667    0.630    0.379    0.557
   +0.15  30    0.841    0.823    0.791    0.691    0.739
   +0.15  40    0.928    0.918    0.889    0.775    0.867
   +0.22  10    0.684    0.625    0.599    0.279    0.529
   +0.22  15    0.847    0.823    0.793    0.521    0.745
   +0.22  20    0.937    0.926    0.895    0.688    0.874
   +0.22  30    0.989    0.985    0.975    0.926    0.968
   +0.22  40    0.998    0.998    0.995    0.966    0.995
   +0.30  10    0.891    0.856    0.816    0.511    0.796
   +0.30  15    0.979    0.971    0.947    0.789    0.943
   +0.30  20    0.997    0.996    0.990    0.914    0.989
   +0.30  30    1.000    1.000    0.999    0.995    0.999
   +0.30  40    1.000    1.000    1.000    0.999    1.000

== PAIRED  null EMPIRICAL  scaled to d=800 (x1.83)
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.032    0.044    0.054    0.009    0.012
   +0.00  15    0.037    0.047    0.050    0.019    0.010
   +0.00  20    0.042    0.048    0.053    0.023    0.015
