population	name	generation	age	evals	fitness	parents
holistic	he182	179	59	59	0.0	he136
conventional	ce181	179	59	59	-0.034	ce150
conventional	ce182	179	59	59	-0.0872	ce165
conventional	ce183	180	59	59	0.4886	ce170
conventional	ce184	180	59	59	0.6321	ce136
conventional	ce185	180	59	59	0.2027	ce133
holistic	he183	181	59	59	0.0	he146
conventional	ce186	181	59	59	0.3443	ce158
conventional	ce187	181	59	59	0.3874	ce173
conventional	ce188	182	59	59	0.9927	ce165
holistic	he184	183	59	59	0.0	he163
conventional	ce189	183	59	59	-0.388	ce174,ce149
conventional	ce190	183	59	59	0.6004	ce135
holistic	he185	184	59	59	0.0	he171
conventional	ce191	185	59	59	-0.352	ce160,ce150
holistic	he186	187	59	59	0.0	he148,he150
holistic	he187	188	59	59	-0.0014	he154
conventional	ce192	190	59	59	0.1608	ce174
conventional	ce193	190	59	59	0.3185	ce180,ce177
holistic	he188	192	59	59	-0.0	he169
holistic	he189	192	59	59	-0.0	he170
holistic	he190	192	59	59	0.0	he151,he148
holistic	he191	192	59	59	0.202	he145,he163
conventional	ce194	192	59	59	-0.0832	ce181
holistic	he192	194	59	59	0.0	he162,he139
conventional	ce195	194	59	59	0.0207	ce144
conventional	ce196	194	59	59	0.6101	ce165,ce150
holistic	he193	195	59	59	0.0	he154
holistic	he194	195	59	59	0.0	he161,he144
holistic	he195	196	59	59	0.0	he193
holistic	he196	196	59	59	-0.1253	he155
holistic	he197	197	59	59	0.0	he152,he182
holistic	he198	198	59	59	0.0	he146
holistic	he199	198	59	59	0.0169	he194
conventional	ce197	198	59	59	0.4494	ce178
conventional	ce198	198	59	59	-0.0263	ce145,ce193
conventional	ce199	198	59	59	0.1397	ce155,ce194
holistic	he200	199	59	59	0.0	he193,he152
holistic	he201	199	59	59	0.0	he165
holistic	he202	199	59	59	0.0	he182
holistic	he203	199	59	59	0.0	he180,he198
conventional	ce200	199	59	59	1.0004	ce187
conventional	ce201	199	59	59	0.1159	ce162,ce161
holistic	he204	200	59	59	0.2501	he154
holistic	he205	202	59	59	0.0	he200,he162
conventional	ce202	202	59	59	1.0851	ce196,ce172
conventional	ce203	202	59	59	0.2696	ce188
holistic	he206	203	59	59	0.0	he192
holistic	he207	203	59	59	0.0	he169,he176
holistic	he208	203	59	59	0.0	he202
holistic	he209	203	59	59	0.0338	he204
conventional	ce204	203	59	59	0.9725	ce165
conventional	ce205	204	59	59	0.9527	ce168,ce193
conventional	ce206	204	59	59	-0.0419	ce176
conventional	ce207	204	59	59	0.2601	ce155
holistic	he210	205	59	59	0.0665	he205
holistic	he211	206	59	59	0.0	he202
conventional	ce208	206	59	59	0.3486	ce174
holistic	he212	207	59	59	0.0411	he167
conventional	ce209	207	59	59	0.2423	ce187,ce172
holistic	he213	208	59	59	0.0	he171
holistic	he214	208	59	59	0.0	he155,he208
conventional	ce210	208	59	59	0.0399	ce152
conventional	ce211	208	59	59	0.1062	ce187
conventional	ce212	209	59	59	0.2937	ce188,ce200
conventional	ce213	209	59	59	-0.1321	ce170,ce155
holistic	he215	210	59	59	0.0	he183
conventional	ce214	212	59	59	0.3011	ce205,ce170
holistic	he216	213	59	59	0.0	he180,he182
holistic	he217	213	59	59	0.0	he178,he203
holistic	he218	213	59	59	0.0	he215
conventional	ce215	213	59	59	0.374	ce212
holistic	he219	214	59	59	0.0	he190
holistic	he220	214	59	59	0.0	he213
conventional	ce216	215	59	59	0.0087	ce169,ce179
conventional	ce217	215	59	59	0.3813	ce193
holistic	he221	216	59	59	0.0	he207,he206
conventional	ce218	216	59	59	0.3347	ce161
conventional	ce219	216	59	59	-0.6856	ce201
holistic	he222	217	59	59	0.0	he202
conventional	ce220	217	59	59	-0.7947	ce168
holistic	he223	219	59	59	0.0	he219,he206
holistic	he224	219	59	59	0.0	he216
holistic	he225	220	59	59	0.0	he203
holistic	he226	220	59	59	0.0	he194
conventional	ce221	220	59	59	0.2121	ce179
conventional	ce222	220	59	59	0.1574	ce209,ce172
holistic	he227	221	59	59	0.0	he206,he194
conventional	ce223	221	59	59	0.5701	ce201
conventional	ce224	221	59	59	0.9253	ce178,ce167
holistic	he228	223	59	59	0.0	he214,he227
conventional	ce225	223	59	59	0.0524	ce169
conventional	ce226	223	59	59	0.7533	ce186
holistic	he229	224	59	59	0.0	he221
holistic	he230	226	59	59	0.0	he221
holistic	he231	227	59	59	0.0	he185
conventional	ce227	227	59	59	0.3778	ce174
holistic	he232	228	59	59	0.0	he181,he190
holistic	he233	228	59	59	0.0	he215
holistic	he234	228	59	59	-0.0001	he226
conventional	ce228	229	59	59	0.6554	ce171
conventional	ce229	230	59	59	0.5802	ce173
conventional	ce230	231	59	59	0.426	ce172
holistic	he235	232	59	59	0.0	he200
conventional	ce231	232	59	59	0.1014	ce185
conventional	ce232	233	59	59	0.5929	ce195
conventional	ce233	233	59	59	0.1528	ce176,ce192
holistic	he236	234	59	59	0.0	he179
holistic	he237	234	59	59	0.0	he212
conventional	ce234	234	59	59	1.2444	ce179
holistic	he238	236	59	59	0.0	he214
conventional	ce235	236	59	59	0.4827	ce218,ce201
conventional	ce236	236	59	59	0.4427	ce197
holistic	he239	237	59	59	0.0	he182,he183
conventional	ce237	237	59	59	0.4196	ce184
conventional	ce238	237	59	59	0.4482	ce212,ce230
conventional	ce239	237	59	59	0.5831	ce180
holistic	he240	238	59	59	0.0	he237
conventional	ce240	238	59	59	0.0518	ce227,ce183
holistic	he241	239	59	59	0.0	he229,he227
holistic	he242	239	59	59	-0.0001	he218
conventional	ce241	239	59	59	0.0503	ce216
conventional	ce242	239	59	59	0.8724	ce230
conventional	ce243	240	59	59	0.5378	ce215
conventional	ce244	240	59	59	1.0593	ce230,ce204
conventional	ce245	240	59	59	0.7924	ce186
holistic	he243	241	59	59	0.1446	he212
conventional	ce246	241	59	59	1.3087	ce214
conventional	ce247	241	59	59	-0.0312	ce211
conventional	ce248	242	59	59	1.2489	ce209,ce243
holistic	he244	243	59	59	0.0	he220
conventional	ce249	243	59	59	0.558	ce200
conventional	ce250	243	59	59	0.0386	ce246,ce197
holistic	he245	244	59	59	0.0	he195,he238
conventional	ce251	245	59	59	0.4262	ce243
holistic	he246	247	59	59	0.0118	he243
holistic	he247	248	59	59	0.0	he194
conventional	ce252	250	59	59	0.5473	ce224
conventional	ce253	250	59	59	0.4378	ce235,ce234
holistic	he248	252	59	59	0.0	he222
holistic	he249	252	59	59	0.0	he231
holistic	he250	252	59	59	0.0	he197,he232
holistic	he251	252	59	59	0.0	he200
conventional	ce254	252	59	59	1.1754	ce204
holistic	he252	254	59	59	0.0607	he243
conventional	ce255	254	59	59	0.2642	ce202
conventional	ce256	254	59	59	0.6593	ce200
holistic	he253	255	59	59	0.0	he235,he197
holistic	he254	255	59	59	0.0	he195,he228
holistic	he255	256	59	59	0.0	he224,he253
holistic	he256	256	59	59	0.0	he248,he220
holistic	he257	257	59	59	0.1122	he212
holistic	he258	258	59	59	0.0	he203
holistic	he259	258	59	59	-0.0854	he208
conventional	ce257	258	59	59	-0.1856	ce210
conventional	ce258	258	59	59	0.2275	ce203
conventional	ce259	258	59	59	0.1102	ce233
holistic	he260	259	59	59	0.0	he225
holistic	he261	259	59	59	0.0	he220
holistic	he262	259	59	59	0.0	he256
holistic	he263	259	59	59	0.0508	he244,he207
conventional	ce260	259	59	59	-0.1059	ce247
conventional	ce261	259	59	59	-0.2752	ce238,ce237
holistic	he264	260	59	59	0.0	he241,he238
holistic	he265	262	59	59	-0.0277	he248
conventional	ce262	262	59	59	0.7721	ce246
conventional	ce263	262	59	59	0.023	ce208
holistic	he266	263	59	59	0.2637	he211,he219
holistic	he267	263	59	59	0.0	he261,he248
holistic	he268	263	59	59	0.0	he254,he230
holistic	he269	263	59	59	-0.0071	he246
conventional	ce264	263	59	59	0.2496	ce221
