population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
holistic	he218	85	0	0	0	0	1	0	0	0	0	0	0
holistic	he219	85	0	0	0	0	2	0	0	0	0	0	0
holistic	he220	85	0	0	0	0	0	0	0	0	0	0	0
holistic	he221	85	0	0	0	0	12	0	0	0	0	0	0
holistic	he222	85	0	0.510820	0	4	7	0	0	0.510820	0	0	0
holistic	he223	85	0	0.388658	0	1	5	0	0	0.388658	0	0	0
holistic	he224	85	0	0	0	0	0	0	0	0	0	0	0
conventional	ce284	85	0	14.042752	0	14	7	1.890162	1.693779	8.104149	2.354662	0	0
conventional	ce285	85	0	20.695409	0	14	7	1.897621	2.505513	8.113020	8.179255	0	0
conventional	ce286	85	0	22.790205	0	14	7	2.882422	3.342873	8.333342	8.231568	0	0
holistic	he225	86	0	0.364764	0	1	6	0	0	0.364764	0	0	0
holistic	he226	86	0	0	0	0	3	0	0	0	0	0	0
holistic	he227	86	0	0	0	0	2	0	0	0	0	0	0
holistic	he228	86	0	0	0	0	3	0	0	0	0	0	0
holistic	he229	86	2.547922	13.899182	4	48	8	7.058472	0	0	6.840710	0	0
holistic	he230	86	0	0	0	0	3	0	0	0	0	0	0
holistic	he231	86	0	0	0	0	2	0	0	0	0	0	0
holistic	he232	86	0	0	0	0	0	0	0	0	0	0	0
conventional	ce287	86	0	26.296497	0	14	7	3.666891	3.911974	9.415772	9.301860	0	0
conventional	ce288	86	0	17.679654	0	14	7	2.269139	2.545109	4.292293	8.573113	0	0
conventional	ce289	86	0	16.700477	0	14	7	4.227502	3.388053	4.833666	4.251256	0.224369	0
holistic	he233	87	0	0.364764	0	1	6	0	0	0.364764	0	0	0
holistic	he234	87	0	0	0	0	0	0	0	0	0	0	0
holistic	he235	87	0	0	0	0	2	0	0	0	0	0	0
holistic	he236	87	14.233599	18.704241	9	9	12	0	9.023181	0	9.681060	0	0
holistic	he237	87	0	0	0	0	9	0	0	0	0	0	0
holistic	he238	87	0	0	0	0	2	0	0	0	0	0	0
holistic	he239	87	0	0	0	0	3	0	0	0	0	0	0
holistic	he240	87	0	0	0	0	3	0	0	0	0	0	0
holistic	he241	87	0	0.459276	0	4	7	0	0	0.459276	0	0	0
conventional	ce290	87	0	21.875052	0	14	7	2.894042	1.585989	9.205259	8.189762	0	0
holistic	he242	88	0	0	0	0	2	0	0	0	0	0	0
holistic	he243	88	0	2.077332	0	4	8	0	0	2.077332	0	0	0
holistic	he244	88	0	0	0	0	0	0	0	0	0	0	0
holistic	he245	88	0	8.881227	0	6	19	0	0.547779	8.333448	0	0	0
holistic	he246	88	0	0	0	0	2	0	0	0	0	0	0
conventional	ce291	88	0	20.083047	0	14	7	3.919320	1.588224	8.120524	6.454979	0	0
conventional	ce292	88	0	17.227631	0	14	7	1.331559	3.440125	5.964780	6.491167	0.895487	0
conventional	ce293	88	0	37.381245	0	14	7	4.417628	9.770286	14.713549	8.479782	0	0
conventional	ce294	88	0	21.505614	0	14	7	3.834905	1.783820	8.355233	7.531656	0.748024	0
holistic	he247	89	0	0	0	0	3	0	0	0	0	0.171763	0
holistic	he248	89	8.577946	10.092582	6	6	6	0	2.949638	0	7.142944	0	0
holistic	he249	89	8.280822	39.081403	6	36	18	0	3.658310	29.236755	6.186338	0	0
holistic	he250	89	0	2.236864	0	16	13	0	0	2.236864	0	0	0
holistic	he251	90	0	0.940868	0	4	7	0	0	0.940868	0	0	0
holistic	he252	90	0	0	0	0	2	0	0	0	0	0	0
conventional	ce295	90	0	18.552609	0	14	7	3.096871	4.458244	7.030888	3.966606	0	0
conventional	ce296	90	0	39.871201	0	14	7	9.688745	6.763555	10.516562	12.902339	0	0
holistic	he253	91	0	0	0	0	2	0	0	0	0	0	0
holistic	he254	91	0.577893	0.283436	1	1	5	0	0	0.283436	0	0	0
holistic	he255	91	0	0	0	0	2	0	0	0	0	0	0
holistic	he256	91	0	0	0	0	3	0	0	0	0	0	0
holistic	he257	91	0	0	0	0	1	0	0	0	0	0	0
holistic	he258	91	0	0	0	0	3	0	0	0	0	0	0
holistic	he259	91	0	0	0	0	2	0	0	0	0	0	0
holistic	he260	92	0	0	0	0	3	0	0	0	0	0	0
holistic	he261	92	0	0	0	0	2	0	0	0	0	0	0
holistic	he262	92	0	0.082690	0	1	6	0	0	0.082690	0	0	0
conventional	ce297	92	0	25.781526	0	14	7	5.694210	1.229267	10.429223	8.428826	0	0
conventional	ce298	92	0	35.064156	0	14	7	5.525657	0.751203	20.704206	8.083090	1.162301	0
holistic	he263	93	0	0	0	0	2	0	0	0	0	0	0
holistic	he264	93	0	0	0	0	2	0	0	0	0	0	0
holistic	he265	93	8.073476	50.160730	6	18	21	0	2.963046	39.460328	7.737356	0	0
holistic	he266	93	0	0	0	0	3	0	0	0	0	0	0
holistic	he267	93	0	0	0	0	7	0	0	0	0	0	0
conventional	ce299	93	0	20.073576	0	14	7	3.199193	1.983182	7.126553	7.764648	0	0
conventional	ce300	93	0	16.497914	0	14	7	1.578137	0.407523	8.357307	6.154947	0	0
conventional	ce301	93	0	21.379720	0	14	7	7.281054	2.623768	4.545327	6.929571	0.420221	0
holistic	he268	94	0	0	0	0	6	0	0	0	0	0	0
conventional	ce302	94	0	27.475619	0	14	7	1.483613	9.267551	12.900952	3.823503	0	0
holistic	he269	95	0	0	0	0	0	0	0	0	0	0	0
holistic	he270	95	0	4.828424	0	4	18	0	0	4.828424	0	0	0
holistic	he271	95	2.270874	61.834402	4	66	20	3.222672	8.663690	41.255160	8.692880	0	0
holistic	he272	95	0	0.459276	0	4	10	0	0	0.459276	0	0	0
holistic	he273	95	0	0.082690	0	1	6	0	0	0.082690	0	0	0
conventional	ce303	95	0	21.703753	0	14	7	4.096613	1.515400	10.461927	5.629813	0	0
conventional	ce304	95	0	17.475915	0	14	7	1.306976	2.864634	6.100681	7.203624	0.907766	0
