generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
79	1867833078		0.708703	0.557106	2.012650	2	15.340000	0.856630	0.378250	0.106545	5	15.337000				
80	1248239222		0.528404	0.492337	1.796275	6	15.340000	0.941990	0.450160	0.089976	5	15.337000	0.307397	1	49	50
81	567434790		0.543323	0.506118	1.992322	8	15.340000	0.859840	0.551420	0.148751	5	15.337000				
82	671227166		0.525013	0.502538	1.801846	3	15.340000	0.917964	0.525381	0.099464	5	15.337000				
83	728557871		0.509004	0.479322	1.801846	3	15.340000	0.637177	0.482281	0.568939	5	15.337000				
84	784844802		0.507402	0.481548	1.801846	3	15.340000	0.850284	0.447925	0.197944	5	15.337000				
85	1199883724		0.501386	0.479140	1.801846	3	15.340000	1.000000	0.490498	3.365522	5	15.337000	0.420957	13	37	50
86	2008576083		0.507161	0.483863	1.801846	3	15.340000	0.983090	0.714885	0.072594	5	15.337000				
87	891059341		0.500530	0.481051	1.801846	3	15.340000	0.857548	0.422862	0.511429	5	15.337000				
88	1585922369		0.500400	0.481328	1.801846	3	15.340000	0.791430	0.389434	0.131320	5	15.337000				
89	2134035813		0.500032	0.481963	1.801846	3	15.340000	0.945062	0.469502	0.031244	5	15.337000				
90	1800583605		0.501732	0.480945	1.801846	3	15.340000	0.881581	0.422839	0.066781	5	15.337000	0.267186	3	47	50
91	291612303		0.501539	0.474397	1.802075	3	15.340000	0.944853	0.357373	0.072819	5	15.337000				
92	1496073522		0.500945	0.473459	1.802075	3	15.340000	0.920425	0.552200	0.103408	5	15.337000				
93	1993267751		0.500418	0.474022	1.802075	3	15.340000	0.986080	0.328359	0.018497	5	15.337000				
94	522840927		0.505706	0.476712	1.804773	3	15.340000	0.924849	0.430386	0.100730	5	15.337000				
95	391955161		0.500479	0.474949	1.804773	3	15.340000	0.899792	0.400241	0.171713	5	15.337000	0.277377	1	49	50
96	890303169		0.500674	0.476631	1.799918	3	15.340000	0.912891	0.495993	0.126532	5	15.337000				
97	850531942		0.513874	0.479409	1.702727	12	15.340000	0.846450	0.516849	0.093849	5	15.337000				
98	951008721		0.543861	0.483267	1.685778	12	15.340000	0.903072	0.456190	0.280419	5	15.337000				
99	1512780978		0.736837	0.543157	0.602081	12	15.340000	0.927575	0.350770	0.060627	5	15.337000				
100	11093767		0.626350	0.475999	1.197388	12	15.340000	1.000000	0.507264	0.730418	5	15.337000	0.409137	13	37	50
101	1839730027		0.564536	0.468425	1.705927	12	15.340000	0.971116	0.433138	0.584489	5	15.337000				
102	626593378		0.564536	0.467546	1.705927	12	15.340000	0.945921	0.576048	0.053446	5	15.337000				
103	1129708540		0.500000	0.467556	1.705927	12	15.340000	0.770022	0.383751	0.315551	5	15.337000				
104	923247043		0.500000	0.467964	1.705927	12	15.340000	0.811980	0.307295	1.530466	5	15.337000				
105	699298704		0.500000	0.468108	1.705927	12	15.340000	0.855951	0.536882	0.196849	5	15.337000	0.324085	1	49	50
106	1141703801		0.500000	0.467603	1.705927	12	15.340000	0.897917	0.545134	0.150602	5	15.337000				
107	453778677		0.529717	0.469886	1.514523	12	15.340000	0.801785	0.517384	0.284486	5	15.337000				
108	559778421		0.536105	0.480035	1.705927	12	15.340000	0.837184	0.385926	0.070505	5	15.337000				
109	1684731720		0.530161	0.470245	1.511823	12	15.340000	0.918455	0.519892	0.087325	5	15.337000				
110	937766115		0.549510	0.477615	1.619683	12	15.340000	0.985624	0.474537	0.134816	5	15.337000	0.301015	4	46	50
111	1586429641		0.549510	0.476220	1.619683	12	15.340000	1.000000	0.608055	0.773924	5	15.337000				
112	1339766692		0.518444	0.473883	1.845463	12	15.340000	0.601244	0.372498	0.789606	5	15.337000				
113	850682108		0.534050	0.486634	1.610599	12	15.340000	0.889780	0.413446	0.141905	5	15.337000				
114	561231389		0.534050	0.473366	1.610599	12	15.340000	0.880270	0.542742	0.163872	5	15.337000				
115	781182374		0.559522	0.482191	1.580102	12	15.340000	1.000000	0.565228	0.201075	5	15.337000	0.468890	15	35	50
116	1806798142		0.498560	0.456251	1.797849	12	15.340000	0.821526	0.499874	0.154384	5	15.337000				
117	532025507		0.538637	0.448235	1.580102	12	15.340000	0.898738	0.417191	0.129336	5	15.337000				
118	905798530		0.553659	0.434331	1.580102	12	15.340000	0.685529	0.390833	0.162145	5	15.337000				
119	2083557088		0.546441	0.452727	1.321208	12	15.340000	0.676493	0.527141	0.622124	5	15.337000				
120	1548807259		0.544231	0.432815	1.563202	12	15.340000	0.983306	0.513146	0.544070	5	15.337000	0.398703	12	38	50
121	202812595		0.529151	0.445522	1.575311	12	15.340000	0.831888	0.535922	1.043014	5	15.337000				
122	1427130438		0.570280	0.453582	2.002527	11	15.340000	1.000000	0.514610	0.763269	5	15.337000				
123	1000859187		0.587161	0.500763	1.402330	12	15.340000	0.931584	0.529896	0.087898	5	15.337000				
124	367443432		0.520343	0.436804	1.335776	12	15.340000	0.832690	0.461006	0.239555	5	15.337000				
125	788264185		0.562862	0.425808	1.555941	12	15.340000	0.920116	0.449060	0.040616	5	15.337000	0.453138	4	46	50
126	1357457393		0.533360	0.435739	1.543119	12	15.340000	0.861976	0.293370	0.119220	5	15.337000				
127	177579293		0.687979	0.574751	1.488958	12	15.340000	0.803989	0.407490	0.114848	5	15.337000				
128	425325362		0.608290	0.505130	1.985242	12	15.340000	0.730733	0.421672	0.387041	5	15.337000				
129	2054140832		0.561033	0.489950	1.553307	12	15.340000	0.760675	0.508595	1.647418	5	15.337000				
130	19395513		0.519661	0.481952	1.723551	12	15.340000	0.974061	0.572442	0.308517	5	15.337000	0.412964	11	39	50
131	1977898165		0.491817	0.467209	1.792779	12	15.340000	0.713285	0.518812	1.184501	5	15.337000				
132	551383780		0.511400	0.466391	1.711806	12	15.340000	0.906329	0.534074	0.045048	5	15.337000				
