generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
151	1269912041		0.827621	0.319838	0.336896	2	15.340000	0.910972	0.558793	0.267586	5	15.337000				
152	69010802		0.955397	0.431420	0.080702	2	15.340000	0.818105	0.561389	0.319969	5	15.337000				
153	991100392		0.620497	0.473310	1.159166	2	14.913000	0.934772	0.412650	0.075609	5	15.337000				
154	353726842		0.673769	0.288732	0.508160	2	15.093000	0.842449	0.353829	0.181970	5	15.337000				
155	763327651		0.794017	0.263209	0.518837	2	15.093000	0.770393	0.359612	0.334985	5	15.337000	0.483582	14	36	50
156	1338078996		0.873659	0.413811	0.163607	2	15.093000	0.938866	0.500903	0.030803	5	15.337000				
157	1071051858		0.741706	0.371810	0.210109	2	15.093000	0.992548	0.533715	0.039651	5	15.337000				
158	571856810		0.594958	0.410627	0.668516	2	15.093000	0.946366	0.546764	0.061750	5	15.337000				
159	1032522238		0.582246	0.264146	0.632881	2	15.093000	0.723610	0.367963	0.431134	5	15.337000				
160	1217809127		0.683286	0.328186	0.641807	2	15.093000	0.976290	0.590571	0.151907	5	15.337000	0.540297	25	25	50
161	1219777713		0.794748	0.309944	0.243873	2	15.093000	0.823127	0.233997	0.201680	5	15.337000				
162	851587835		0.592199	0.438405	1.296047	2	14.450000	0.575452	0.417141	0.615272	5	15.337000				
163	72484160		0.602458	0.441754	0.896595	2	15.093000	0.939436	0.580251	0.212200	5	15.337000				
164	1319740583		0.635083	0.431542	0.881694	2	15.093000	1.000000	0.339945	1.015352	5	15.337000				
165	1132469140		0.745433	0.444470	0.623594	2	15.093000	1.000000	0.602092	0.965722	5	15.337000	0.361038	9	41	50
166	1715834680		0.798981	0.523744	0.814538	2	15.004000	1.000000	0.713206	0.550181	5	15.337000				
167	712055365		0.909605	0.397857	0.152023	2	15.004000	0.899553	0.443399	0.113942	5	15.337000				
168	2037038356		0.810855	0.243589	0.175541	2	15.093000	0.908941	0.407552	0.067804	5	15.337000				
169	1208273184		0.552526	0.336037	1.371980	2	15.093000	0.988177	0.515209	0.015689	5	15.337000				
170	1967220125		0.509360	0.420801	1.272675	16	15.340000	0.672392	0.483989	0.644064	5	15.337000	0.425055	22	28	50
171	214028905		0.672140	0.494423	1.238537	2	15.093000	0.761810	0.402266	0.336947	5	15.337000				
172	1967984652		0.523618	0.425394	1.216307	2	15.093000	0.939379	0.453216	0.029627	5	15.337000				
