population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
holistic	h0-35	-16	0	0	0	0	8	0	0	0	0	0	0
holistic	h0-36	-13	0	1.426396	0	1	1	0	0	0	1.426396	0	0
holistic	h0-37	-52	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-38	-12	0	0	0	0	3	0	0	0	0	0	0
holistic	h0-39	-48	0	0	0	0	3	0	0	0	0	0	0
holistic	h0-40	-24	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-41	-10	3.546874	8.947058	4	6	3	0	0	8.947058	0	0	0
holistic	h0-42	-12	0	0	0	0	3	0	0	0	0	0	0
holistic	h0-43	-20	4.701519	4.245029	4	4	12	0	0	4.245029	0	0	0
holistic	h0-44	-2	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-45	-7	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-46	-33	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-47	-16	0	2.411403	0	7	5	0	1.351766	1.059637	0	0	0
holistic	h0-48	-18	0	0	0	0	0	0	0	0	0	0.676790	0
holistic	h0-49	-45	5.488077	9.535143	3	3	10	0	0	9.535143	0	0	0
holistic	h0-50	-58	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-51	-44	0	0	0	0	4	0	0	0	0	0	0
holistic	h0-52	-10	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-53	-50	0	0	0	0	0	0	0	0	0	0.286160	0
holistic	h0-54	-28	4.694409	26.968159	5	34	9	0	2.344331	24.623828	0	0.002702	0.596412
holistic	h0-55	-33	0.993237	0.674315	1	1	2	0	0	0	0.674315	0	0
holistic	h0-56	-52	0	0	0	0	4	0	0	0	0	0	0
holistic	h0-57	-36	0	5.278112	0	8	2	0	5.278112	0	0	1.129184	0
holistic	h0-58	-49	1.300614	16.507554	2	11	3	0	0	0	16.507554	0.533873	0
holistic	h0-59	-55	0	0	0	0	2	0	0	0	0	0	0
holistic	he61	0	0	0	0	0	8	0	0	0	0	0	0
holistic	he62	0	2.181680	2.627836	2	8	6	0	2.510298	0.114860	0.002678	1.610796	0
conventional	c0-0	-20	0	53.868005	0	14	7	10.985399	3.832976	33.014303	6.035327	0	0
